Label (Grouping),Year,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
Census Tract 1.01; Multnomah County; Oregon!!Estimate,2023,"2,445",0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,167,14,23,313,80,"1,055",423,149,193
Census Tract 1.02; Multnomah County; Oregon!!Estimate,2023,"2,871",0,0,0,0,0,0,0,0,0,0,0,0,16,21,55,149,27,159,170,234,"1,091",661,152,136
Census Tract 2.01; Multnomah County; Oregon!!Estimate,2023,"2,796",32,0,0,0,0,0,0,0,0,0,29,0,28,149,19,207,48,88,415,80,945,366,232,158
Census Tract 2.02; Multnomah County; Oregon!!Estimate,2023,"2,666",37,0,0,0,0,0,12,0,0,0,13,0,14,0,19,221,53,124,321,166,"1,003",501,163,19
Census Tract 3.01; Multnomah County; Oregon!!Estimate,2023,"3,494",0,0,0,0,0,0,0,0,0,0,25,0,0,26,58,386,39,327,275,331,"1,129",718,104,76
Census Tract 3.02; Multnomah County; Oregon!!Estimate,2023,"5,322",59,0,0,0,0,0,0,0,0,0,0,0,24,18,0,222,74,120,528,223,"1,977","1,424",429,224
Census Tract 4.01; Multnomah County; Oregon!!Estimate,2023,"2,832",40,0,0,0,0,0,0,0,0,0,0,0,0,0,9,309,85,128,265,164,"1,093",541,112,86
Census Tract 4.02; Multnomah County; Oregon!!Estimate,2023,"2,628",12,0,0,0,0,0,0,0,0,0,0,7,0,0,24,285,67,263,149,272,951,440,76,82
Census Tract 5.01; Multnomah County; Oregon!!Estimate,2023,"3,248",24,0,0,0,0,0,0,8,10,13,86,20,0,7,45,379,122,208,322,232,"1,226",430,36,80
Census Tract 5.02; Multnomah County; Oregon!!Estimate,2023,"3,526",119,0,0,0,0,0,0,3,0,51,7,0,14,20,0,423,83,239,753,145,988,531,128,22
Census Tract 6.01; Multnomah County; Oregon!!Estimate,2023,"3,968",39,0,0,0,0,0,12,9,34,0,0,28,21,55,45,"1,030",170,259,584,246,864,502,40,30
Census Tract 6.02; Multnomah County; Oregon!!Estimate,2023,"4,245",180,0,0,0,0,0,0,0,48,0,23,92,14,93,164,"1,161",270,220,658,247,667,334,64,10
Census Tract 7.01; Multnomah County; Oregon!!Estimate,2023,"3,893",62,0,0,0,0,0,0,0,0,0,21,11,18,53,133,343,121,113,694,385,"1,184",638,68,49
Census Tract 7.02; Multnomah County; Oregon!!Estimate,2023,"4,195",77,0,0,0,0,0,0,29,0,0,16,47,29,57,43,362,241,322,422,438,"1,237",641,115,119
Census Tract 8.01; Multnomah County; Oregon!!Estimate,2023,"3,693",0,0,0,0,0,0,0,16,0,0,28,0,9,18,0,283,27,96,627,211,"1,191",453,656,78
Census Tract 8.02; Multnomah County; Oregon!!Estimate,2023,"3,976",34,0,0,0,0,0,0,0,0,0,19,9,0,83,42,411,66,273,679,206,"1,615",382,108,49
Census Tract 9.01; Multnomah County; Oregon!!Estimate,2023,"3,026",0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,207,131,71,285,211,"1,347",517,123,113
Census Tract 9.02; Multnomah County; Oregon!!Estimate,2023,"3,742",72,0,0,0,0,0,0,10,0,0,11,0,0,114,16,280,25,237,700,211,"1,301",522,114,129
Census Tract 10; Multnomah County; Oregon!!Estimate,2023,"4,998",14,0,0,0,0,0,0,0,0,0,49,12,0,53,169,336,15,132,"1,076",384,"1,535",833,207,183
Census Tract 11.01; Multnomah County; Oregon!!Estimate,2023,"2,750",0,0,0,0,0,0,0,0,0,0,0,17,15,10,10,249,73,285,495,169,979,332,88,28
Census Tract 11.02; Multnomah County; Oregon!!Estimate,2023,"1,139",7,0,0,0,0,0,0,0,0,0,0,19,0,0,0,71,5,9,150,57,488,205,91,37
Census Tract 12.02; Multnomah County; Oregon!!Estimate,2023,"2,670",0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,403,11,46,333,75,899,476,237,172
Census Tract 12.03; Multnomah County; Oregon!!Estimate,2023,"2,340",0,0,0,0,0,0,0,0,18,0,12,0,0,0,0,173,58,101,284,213,990,329,128,34
Census Tract 12.04; Multnomah County; Oregon!!Estimate,2023,"2,291",20,0,0,0,0,0,0,0,0,0,61,0,0,0,9,111,91,106,236,112,"1,074",292,55,124
Census Tract 13.01; Multnomah County; Oregon!!Estimate,2023,"3,328",16,0,0,0,0,0,0,0,0,0,0,0,0,4,9,172,14,75,338,265,"1,592",586,157,100
Census Tract 13.02; Multnomah County; Oregon!!Estimate,2023,"2,847",14,0,0,0,0,0,0,0,0,0,0,0,18,0,13,120,80,83,392,107,"1,047",639,220,114
Census Tract 14; Multnomah County; Oregon!!Estimate,2023,"4,862",103,0,0,0,0,0,0,0,0,0,15,0,57,0,65,228,57,164,713,241,"1,987",963,118,151
Census Tract 15; Multnomah County; Oregon!!Estimate,2023,"2,807",6,0,0,0,0,0,0,0,0,0,5,4,0,1,13,172,1,98,217,114,"1,089",717,209,161
Census Tract 16.01; Multnomah County; Oregon!!Estimate,2023,"4,558",0,0,0,0,0,8,0,0,0,0,9,11,56,56,37,616,97,181,506,161,"1,698",745,293,84
Census Tract 16.02; Multnomah County; Oregon!!Estimate,2023,"3,587",127,0,0,0,13,0,0,0,29,12,0,5,57,10,73,598,46,203,393,316,"1,259",361,42,43
Census Tract 17.02; Multnomah County; Oregon!!Estimate,2023,"2,839",35,0,16,0,0,0,0,0,14,0,0,53,13,88,8,323,45,207,351,259,"1,119",229,41,38
Census Tract 17.03; Multnomah County; Oregon!!Estimate,2023,"3,075",0,0,0,0,0,0,0,0,0,0,9,0,34,167,19,112,83,119,315,225,"1,252",609,63,68
Census Tract 17.04; Multnomah County; Oregon!!Estimate,2023,"2,356",13,0,0,0,0,0,0,0,0,0,16,0,0,0,220,365,12,63,230,83,832,286,162,74
Census Tract 18.01; Multnomah County; Oregon!!Estimate,2023,"3,686",8,3,0,0,0,0,0,2,0,0,0,65,118,20,108,576,181,209,421,258,"1,038",460,149,70
Census Tract 18.02; Multnomah County; Oregon!!Estimate,2023,"2,956",11,0,0,0,0,0,0,0,7,7,0,11,0,0,21,213,54,103,409,214,"1,159",528,86,133
Census Tract 19; Multnomah County; Oregon!!Estimate,2023,"3,602",9,0,0,0,0,0,0,0,0,0,0,15,0,12,14,152,70,40,395,101,"1,304",971,400,119
Census Tract 20.01; Multnomah County; Oregon!!Estimate,2023,"1,860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,140,65,63,194,111,846,314,113,8
Census Tract 20.02; Multnomah County; Oregon!!Estimate,2023,"3,102",12,0,0,0,0,0,0,0,0,0,0,0,18,174,21,169,41,199,561,233,"1,099",422,123,30
Census Tract 21.01; Multnomah County; Oregon!!Estimate,2023,"1,591",0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,184,60,44,231,34,647,365,7,12
Census Tract 21.02; Multnomah County; Oregon!!Estimate,2023,"2,050",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,116,8,44,429,43,818,388,39,149
Census Tract 22.03; Multnomah County; Oregon!!Estimate,2023,"3,887",0,0,0,0,0,0,0,0,0,0,0,23,0,8,0,321,246,106,226,293,"1,371","1,155",51,87
Census Tract 23.03; Multnomah County; Oregon!!Estimate,2023,"3,521",15,12,0,0,0,0,0,0,0,0,19,0,72,74,47,401,76,261,617,190,"1,087",503,84,63
Census Tract 24.01; Multnomah County; Oregon!!Estimate,2023,"2,317",0,0,0,0,0,0,0,0,0,0,17,0,0,47,0,144,0,40,223,30,853,552,202,209
Census Tract 24.02; Multnomah County; Oregon!!Estimate,2023,"3,036",0,0,0,0,0,0,22,7,0,0,0,0,14,0,24,355,103,84,338,149,"1,218",480,136,106
Census Tract 25.01; Multnomah County; Oregon!!Estimate,2023,"3,339",22,0,0,0,0,0,0,0,7,0,0,0,0,7,0,127,7,61,255,149,"1,294",835,417,158
Census Tract 25.02; Multnomah County; Oregon!!Estimate,2023,"3,348",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,36,273,347,240,"1,436",504,266,75
Census Tract 26; Multnomah County; Oregon!!Estimate,2023,"2,027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,115,38,62,146,128,981,265,115,65
Census Tract 27.01; Multnomah County; Oregon!!Estimate,2023,"2,224",11,0,0,0,0,0,0,0,0,0,18,0,0,0,11,125,30,104,257,91,740,609,159,69
Census Tract 27.02; Multnomah County; Oregon!!Estimate,2023,"2,831",0,0,0,0,0,0,0,0,0,0,0,74,0,10,33,178,22,96,428,104,"1,282",354,132,118
Census Tract 28.01; Multnomah County; Oregon!!Estimate,2023,"2,496",16,0,0,0,0,0,0,0,0,0,5,0,11,0,38,143,91,34,195,215,"1,107",432,128,81
Census Tract 28.02; Multnomah County; Oregon!!Estimate,2023,"2,234",4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,206,34,109,285,89,955,348,80,109
Census Tract 29.01; Multnomah County; Oregon!!Estimate,2023,"3,879",1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,371,56,187,530,396,"1,671",516,90,44
Census Tract 29.02; Multnomah County; Oregon!!Estimate,2023,"4,906",18,0,0,0,0,64,0,0,35,19,20,35,0,52,18,460,106,140,783,300,"1,456","1,063",240,97
Census Tract 29.03; Multnomah County; Oregon!!Estimate,2023,"3,356",108,0,0,0,0,0,0,0,0,0,0,11,0,30,63,400,115,323,672,375,718,418,70,53
Census Tract 30; Multnomah County; Oregon!!Estimate,2023,"3,794",18,0,0,0,0,0,0,0,0,0,0,42,6,0,47,246,15,290,573,267,"1,382",571,224,113
Census Tract 31; Multnomah County; Oregon!!Estimate,2023,"4,117",1,0,0,0,0,8,0,0,0,0,0,8,1,1,69,172,118,150,502,346,"1,416",757,429,139
Census Tract 32; Multnomah County; Oregon!!Estimate,2023,"3,317",0,0,0,0,0,0,0,0,0,21,0,0,28,16,34,196,105,75,335,131,"1,307",712,261,96
Census Tract 33.01; Multnomah County; Oregon!!Estimate,2023,"2,231",45,0,0,0,0,0,0,0,0,0,9,0,12,23,12,125,107,165,292,126,838,421,29,27
Census Tract 33.02; Multnomah County; Oregon!!Estimate,2023,"2,956",0,0,0,0,0,0,0,0,0,0,0,25,0,0,23,627,0,152,442,191,765,548,93,90
Census Tract 34.01; Multnomah County; Oregon!!Estimate,2023,"2,798",14,0,0,0,0,0,0,0,0,0,5,0,6,30,45,279,103,118,277,179,"1,116",457,86,83
Census Tract 34.02; Multnomah County; Oregon!!Estimate,2023,"3,988",13,0,0,0,0,0,0,0,0,22,1,248,17,1,160,279,1,172,497,83,"1,815",451,207,21
Census Tract 35.01; Multnomah County; Oregon!!Estimate,2023,"3,146",15,0,0,0,0,36,0,0,0,0,13,0,6,19,11,216,87,105,470,68,"1,452",476,60,112
Census Tract 35.02; Multnomah County; Oregon!!Estimate,2023,"2,474",13,0,0,0,0,0,0,0,0,0,0,0,65,2,51,452,65,55,225,91,956,328,139,32
Census Tract 36.01; Multnomah County; Oregon!!Estimate,2023,"3,394",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,210,269,442,280,"1,247",576,23,22
Census Tract 36.02; Multnomah County; Oregon!!Estimate,2023,"5,020",0,0,0,0,0,0,0,26,0,58,0,0,15,7,18,442,27,126,770,323,"2,168",767,94,179
Census Tract 36.03; Multnomah County; Oregon!!Estimate,2023,"1,370",55,0,0,0,0,9,0,8,0,6,0,0,0,21,25,182,25,45,176,53,500,193,69,3
Census Tract 37.01; Multnomah County; Oregon!!Estimate,2023,"3,514",135,0,0,0,0,0,0,0,0,0,9,85,0,15,41,299,74,116,676,276,"1,140",564,50,34
