Label (Grouping),Year,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
Census Tract 37.02; Multnomah County; Oregon!!Estimate,2023,"1,946",0,0,0,0,0,11,0,0,0,3,0,14,30,5,10,118,24,33,216,63,850,395,150,24
Census Tract 38.01; Multnomah County; Oregon!!Estimate,2023,"2,145",0,0,0,0,0,0,0,0,0,0,6,0,0,0,15,276,30,15,389,133,750,407,59,65
Census Tract 38.02; Multnomah County; Oregon!!Estimate,2023,"2,689",41,0,0,0,0,0,0,0,10,0,16,58,0,2,40,243,9,91,353,357,"1,065",304,35,65
Census Tract 38.03; Multnomah County; Oregon!!Estimate,2023,"3,211",41,0,0,0,0,0,0,0,0,0,0,0,0,0,17,372,13,62,418,95,"1,675",319,96,103
Census Tract 39.02; Multnomah County; Oregon!!Estimate,2023,"2,544",0,0,0,0,0,4,0,4,4,4,12,5,8,0,0,252,71,113,313,151,922,443,101,137
Census Tract 39.03; Multnomah County; Oregon!!Estimate,2023,"2,534",1,0,0,0,0,36,0,0,32,0,0,22,121,0,62,235,97,119,377,78,841,367,146,0
Census Tract 39.04; Multnomah County; Oregon!!Estimate,2023,"3,184",0,0,0,0,0,0,69,0,28,0,0,0,0,18,34,201,20,78,775,303,"1,010",560,88,0
Census Tract 40.02; Multnomah County; Oregon!!Estimate,2023,"3,043",5,0,0,9,0,0,0,0,16,0,0,0,6,0,17,440,111,169,513,163,912,499,130,53
Census Tract 40.03; Multnomah County; Oregon!!Estimate,2023,"5,206",172,0,0,0,0,0,23,88,90,0,7,11,272,195,107,670,142,299,"1,041",256,"1,177",584,13,59
Census Tract 41.02; Multnomah County; Oregon!!Estimate,2023,"4,053",92,0,0,0,0,0,0,0,14,0,23,0,21,0,0,429,421,267,523,162,"1,253",788,34,26
Census Tract 41.03; Multnomah County; Oregon!!Estimate,2023,"3,217",92,41,0,0,0,0,0,0,47,0,0,112,51,151,28,782,46,182,274,343,639,277,51,101
Census Tract 41.04; Multnomah County; Oregon!!Estimate,2023,"2,030",61,0,0,0,0,0,0,0,0,0,0,0,0,0,61,459,115,125,352,134,455,202,66,0
Census Tract 42; Multnomah County; Oregon!!Estimate,2023,"3,243",5,0,0,0,0,0,0,0,13,0,0,14,0,24,10,268,124,209,422,297,"1,345",355,57,100
Census Tract 43; Multnomah County; Oregon!!Estimate,2023,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,126,0,37,92,60,266,176,83,9
Census Tract 45; Multnomah County; Oregon!!Estimate,2023,"2,643",37,0,0,0,0,0,0,0,0,0,0,8,0,0,38,86,11,90,337,75,955,544,347,115
Census Tract 46.01; Multnomah County; Oregon!!Estimate,2023,"2,873",27,0,0,0,0,0,0,0,0,0,0,35,0,0,12,74,66,28,149,45,"1,046",673,467,251
Census Tract 46.02; Multnomah County; Oregon!!Estimate,2023,"1,585",0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,110,11,35,97,73,591,376,194,81
Census Tract 47; Multnomah County; Oregon!!Estimate,2023,"2,973",34,0,0,0,0,0,0,12,0,0,8,0,57,0,0,206,36,53,139,71,"1,329",571,419,38
Census Tract 48; Multnomah County; Oregon!!Estimate,2023,"2,167",88,0,0,0,0,0,0,0,0,0,0,10,0,0,0,192,41,89,451,152,737,193,158,56
Census Tract 49.01; Multnomah County; Oregon!!Estimate,2023,"2,861",66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,95,0,154,285,152,"1,421",438,126,123
Census Tract 49.02; Multnomah County; Oregon!!Estimate,2023,"1,790",0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,89,55,165,285,159,585,306,77,46
Census Tract 50.01; Multnomah County; Oregon!!Estimate,2023,"3,075",0,0,0,0,0,0,0,0,0,0,35,0,0,0,18,199,22,29,248,84,"1,381",586,303,170
Census Tract 50.02; Multnomah County; Oregon!!Estimate,2023,"1,138",0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,82,15,0,69,97,538,189,34,63
Census Tract 51.01; Multnomah County; Oregon!!Estimate,2023,"3,707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,197,109,442,141,"1,311",451,610,334
Census Tract 51.02; Multnomah County; Oregon!!Estimate,2023,"2,838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,1,124,283,44,980,866,357,0
Census Tract 51.03; Multnomah County; Oregon!!Estimate,2023,"3,082",33,63,0,0,0,0,0,0,0,0,47,118,124,87,23,614,136,81,474,110,530,443,46,153
Census Tract 52.01; Multnomah County; Oregon!!Estimate,2023,"1,937",0,0,0,0,0,0,0,12,0,0,19,9,0,40,0,149,127,28,215,216,603,437,33,49
Census Tract 52.02; Multnomah County; Oregon!!Estimate,2023,"2,436",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,94,101,240,95,946,559,121,97
Census Tract 55; Multnomah County; Oregon!!Estimate,2023,"1,888",45,0,0,0,0,0,0,0,0,0,0,24,0,22,7,134,19,63,181,201,696,299,119,78
Census Tract 56.01; Multnomah County; Oregon!!Estimate,2023,"2,166",104,0,0,109,0,0,0,0,18,0,36,20,0,16,0,203,18,108,241,76,673,308,97,139
Census Tract 56.02; Multnomah County; Oregon!!Estimate,2023,871,0,0,0,0,0,0,0,0,40,0,0,0,5,0,0,73,128,104,118,110,165,111,0,17
Census Tract 57.01; Multnomah County; Oregon!!Estimate,2023,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,20,0,40,5,130,46,26,89
Census Tract 57.02; Multnomah County; Oregon!!Estimate,2023,"3,610",16,0,0,0,0,0,0,0,0,0,0,0,16,0,53,103,101,107,604,46,"1,256",782,296,230
Census Tract 58; Multnomah County; Oregon!!Estimate,2023,"3,571",21,0,0,0,0,0,0,0,0,0,28,0,0,0,0,126,17,91,353,257,"1,276",566,477,359
Census Tract 59.01; Multnomah County; Oregon!!Estimate,2023,"1,955",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,85,69,298,129,799,363,108,61
Census Tract 59.02; Multnomah County; Oregon!!Estimate,2023,"3,293",9,0,0,0,0,0,0,0,0,0,0,0,0,0,12,141,0,107,175,250,"1,035",620,517,427
Census Tract 59.03; Multnomah County; Oregon!!Estimate,2023,"2,816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,18,78,425,99,"1,202",456,399,9
Census Tract 60.01; Multnomah County; Oregon!!Estimate,2023,"1,212",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,24,20,46,124,16,561,199,140,80
Census Tract 60.02; Multnomah County; Oregon!!Estimate,2023,"1,689",0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,150,5,52,117,118,727,284,116,104
Census Tract 61; Multnomah County; Oregon!!Estimate,2023,"1,817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,9,0,113,28,809,532,219,66
Census Tract 62; Multnomah County; Oregon!!Estimate,2023,"2,481",0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,110,25,140,175,137,"1,225",376,209,77
Census Tract 63; Multnomah County; Oregon!!Estimate,2023,"3,372",34,0,0,0,0,0,0,0,0,0,0,0,0,0,14,158,15,42,365,121,"1,460",511,526,126
Census Tract 64.02; Multnomah County; Oregon!!Estimate,2023,"4,611",0,0,0,0,0,0,0,0,0,0,0,0,0,14,39,197,47,84,446,303,"1,804",916,431,330
Census Tract 64.03; Multnomah County; Oregon!!Estimate,2023,"3,001",84,0,0,0,0,0,0,0,0,0,56,0,0,0,18,181,137,241,400,284,"1,061",362,85,92
Census Tract 64.04; Multnomah County; Oregon!!Estimate,2023,"2,734",0,0,0,0,0,0,0,0,0,0,0,0,9,29,15,192,29,107,447,238,951,423,201,93
Census Tract 65.01; Multnomah County; Oregon!!Estimate,2023,"4,448",0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,317,39,462,552,247,"1,779",594,307,136
Census Tract 65.02; Multnomah County; Oregon!!Estimate,2023,"3,833",21,0,0,0,0,0,0,0,0,0,0,0,0,45,0,140,52,46,"1,016",312,"1,489",596,88,28
Census Tract 66.01; Multnomah County; Oregon!!Estimate,2023,"2,183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,115,8,70,340,131,986,317,86,125
Census Tract 66.02; Multnomah County; Oregon!!Estimate,2023,"4,353",154,0,0,0,0,0,0,0,20,0,28,0,0,0,51,308,123,194,712,222,"1,381",751,164,245
Census Tract 67.01; Multnomah County; Oregon!!Estimate,2023,"2,365",0,0,0,0,0,0,0,0,0,0,0,7,8,0,8,199,21,95,180,82,"1,005",440,132,188
Census Tract 67.02; Multnomah County; Oregon!!Estimate,2023,"2,440",18,0,0,0,0,0,14,0,0,0,0,0,0,0,0,177,55,51,460,123,986,379,123,54
Census Tract 68.01; Multnomah County; Oregon!!Estimate,2023,"1,529",0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,212,9,55,100,52,501,368,142,78
Census Tract 68.02; Multnomah County; Oregon!!Estimate,2023,"2,546",18,0,0,0,0,0,0,0,0,0,0,0,0,0,16,135,6,28,238,57,"1,020",518,297,213
Census Tract 69; Multnomah County; Oregon!!Estimate,2023,"2,310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,23,25,161,70,975,507,328,108
Census Tract 70.01; Multnomah County; Oregon!!Estimate,2023,"4,037",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,77,7,54,259,136,"1,688",866,634,297
Census Tract 70.02; Multnomah County; Oregon!!Estimate,2023,"2,213",5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,62,39,68,227,65,924,511,197,105
Census Tract 71; Multnomah County; Oregon!!Estimate,2023,"2,109",0,0,0,0,0,0,21,0,0,0,0,0,5,0,90,267,26,73,543,113,553,311,51,56
Census Tract 72.01; Multnomah County; Oregon!!Estimate,2023,"2,029",8,0,0,0,0,0,14,0,22,0,13,0,41,8,35,310,30,149,425,184,425,239,60,66
Census Tract 72.02; Multnomah County; Oregon!!Estimate,2023,"2,652",59,0,0,0,0,0,61,0,105,0,9,0,36,0,29,309,78,102,567,187,845,155,100,10
Census Tract 73; Multnomah County; Oregon!!Estimate,2023,"1,142",4,0,0,0,0,0,0,6,0,0,5,39,77,83,12,129,266,168,201,70,44,14,20,4
Census Tract 74; Multnomah County; Oregon!!Estimate,2023,"2,439",91,0,0,0,0,22,0,48,58,0,81,39,9,25,52,211,119,159,300,203,753,226,35,8
Census Tract 75; Multnomah County; Oregon!!Estimate,2023,"3,550",23,0,0,0,0,0,0,4,0,0,0,4,19,0,95,531,192,166,465,186,"1,089",465,105,206
Census Tract 76; Multnomah County; Oregon!!Estimate,2023,"2,527",55,0,0,0,114,0,0,0,132,0,4,24,0,24,49,241,31,112,277,240,823,312,69,20
Census Tract 77; Multnomah County; Oregon!!Estimate,2023,"1,688",43,0,0,0,0,0,0,0,35,20,7,15,28,30,37,240,108,56,203,176,572,93,9,16
Census Tract 78; Multnomah County; Oregon!!Estimate,2023,"1,521",34,0,0,0,1,0,0,0,31,3,0,16,18,21,46,334,37,78,211,127,415,104,36,9
Census Tract 79; Multnomah County; Oregon!!Estimate,2023,"3,216",92,0,0,0,48,0,0,0,91,13,18,22,38,14,264,601,29,212,550,176,738,243,52,15
Census Tract 80.01; Multnomah County; Oregon!!Estimate,2023,"2,460",128,0,0,0,0,0,0,0,0,0,24,5,57,72,65,439,256,178,256,151,660,120,5,44
Census Tract 80.02; Multnomah County; Oregon!!Estimate,2023,"2,388",100,0,0,0,0,0,0,0,70,0,0,109,43,0,23,507,45,185,391,223,514,161,7,10
Census Tract 81; Multnomah County; Oregon!!Estimate,2023,"5,834",89,4,0,0,0,0,0,10,80,0,48,117,118,78,245,"1,379",654,233,638,629,"1,147",232,49,84
Census Tract 82.01; Multnomah County; Oregon!!Estimate,2023,"2,547",154,0,0,0,0,9,0,49,0,4,0,5,24,80,37,325,96,231,403,190,626,259,41,14
Census Tract 82.03; Multnomah County; Oregon!!Estimate,2023,"3,828",0,0,0,0,0,12,0,53,0,42,0,0,55,0,75,966,125,411,698,422,666,157,113,33
Census Tract 82.04; Multnomah County; Oregon!!Estimate,2023,"1,694",61,87,0,0,0,0,0,26,0,0,32,133,0,0,159,504,34,118,214,172,94,48,6,6
Census Tract 83.01; Multnomah County; Oregon!!Estimate,2023,"3,029",216,0,0,0,19,24,0,0,25,21,126,83,5,52,133,536,121,69,435,186,713,188,19,58
Census Tract 83.02; Multnomah County; Oregon!!Estimate,2023,"3,668",156,0,0,0,0,26,26,14,24,0,9,27,126,31,155,661,172,223,559,410,657,336,36,20
Census Tract 84; Multnomah County; Oregon!!Estimate,2023,"3,609",170,61,0,0,0,0,0,8,40,23,94,103,26,93,95,688,173,608,268,340,638,121,60,0
Census Tract 85; Multnomah County; Oregon!!Estimate,2023,"2,811",188,0,0,0,0,0,0,0,18,17,0,69,33,64,61,566,155,279,408,301,455,162,25,10
Census Tract 86; Multnomah County; Oregon!!Estimate,2023,"2,687",145,0,0,0,0,0,11,0,0,41,10,0,22,80,86,436,175,239,388,317,484,152,22,79
Census Tract 87; Multnomah County; Oregon!!Estimate,2023,"3,447",157,0,0,0,8,0,0,0,0,0,25,41,23,34,36,555,286,167,402,205,"1,020",344,54,90
Census Tract 88; Multnomah County; Oregon!!Estimate,2023,"3,141",124,0,0,0,0,0,0,0,9,0,12,58,6,15,26,668,144,112,514,327,709,296,84,37
Census Tract 89.02; Multnomah County; Oregon!!Estimate,2023,"3,124",86,0,0,0,0,0,39,0,14,0,0,0,56,48,118,639,290,160,357,443,666,163,0,45
Census Tract 89.03; Multnomah County; Oregon!!Estimate,2023,"3,552",184,0,0,0,0,0,0,0,0,0,24,26,47,8,114,501,98,210,726,324,634,440,153,63
Census Tract 89.04; Multnomah County; Oregon!!Estimate,2023,"3,354",151,0,0,5,51,88,0,4,0,0,70,0,80,30,31,725,88,184,370,368,773,277,59,0
Census Tract 90.01; Multnomah County; Oregon!!Estimate,2023,"3,528",61,0,0,0,0,0,0,0,41,11,2,1,98,108,252,"1,323",150,113,480,428,342,111,7,0
Census Tract 90.02; Multnomah County; Oregon!!Estimate,2023,"3,008",103,0,0,0,55,0,0,0,24,0,0,0,13,66,71,770,186,475,468,298,381,46,43,9
Census Tract 91.01; Multnomah County; Oregon!!Estimate,2023,"4,155",272,0,0,0,44,0,0,44,128,38,0,20,45,58,229,837,366,311,639,336,658,87,43,0
Census Tract 91.02; Multnomah County; Oregon!!Estimate,2023,"4,573",244,0,0,0,0,15,29,8,45,37,0,0,131,221,101,"1,240",135,372,685,333,539,175,226,37
Census Tract 92.02; Multnomah County; Oregon!!Estimate,2023,"4,078",105,0,0,0,0,0,0,146,77,0,37,29,69,77,117,845,452,152,751,569,390,185,47,30
Census Tract 92.03; Multnomah County; Oregon!!Estimate,2023,"2,342",113,0,0,88,0,0,70,19,0,0,37,19,63,24,53,443,66,127,293,120,464,325,18,0
Census Tract 92.04; Multnomah County; Oregon!!Estimate,2023,"3,135",189,0,0,0,0,0,0,0,0,12,0,94,30,43,87,516,344,205,623,273,585,134,0,0
Census Tract 93.01; Multnomah County; Oregon!!Estimate,2023,"4,119",87,0,0,0,0,0,0,0,111,0,0,90,0,51,106,"1,146",190,387,820,313,647,135,21,15
Census Tract 93.02; Multnomah County; Oregon!!Estimate,2023,"3,715",113,0,0,0,0,0,0,0,0,0,0,10,98,35,65,472,306,519,438,356,914,291,35,63
Census Tract 94; Multnomah County; Oregon!!Estimate,2023,"5,569",108,0,0,35,15,0,0,0,45,0,14,41,47,48,93,950,80,708,867,562,"1,358",457,107,34
Census Tract 95.01; Multnomah County; Oregon!!Estimate,2023,"3,275",165,0,0,0,0,19,0,0,0,23,0,0,33,25,62,849,149,199,564,305,599,251,24,8
