Label (Grouping),Year,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Census Tract 103.04, Multnomah County, Oregon!!Estimate",2019,"2,691",66,0,0,25,0,32,32,60,147,32,29,103,73,54,26,591,187,240,563,149,199,51,32,0
"Census Tract 103.05, Multnomah County, Oregon!!Estimate",2019,"2,819",28,7,0,0,0,30,0,0,7,0,21,15,39,32,33,620,128,299,480,406,534,87,39,14
"Census Tract 103.06, Multnomah County, Oregon!!Estimate",2019,"3,278",51,0,0,0,0,0,0,0,44,0,0,39,143,0,69,665,163,350,679,410,458,151,45,11
"Census Tract 104.02, Multnomah County, Oregon!!Estimate",2019,"4,933",93,24,0,0,0,0,0,73,72,0,9,18,16,32,129,837,348,373,905,523,"1,081",289,94,17
"Census Tract 104.05, Multnomah County, Oregon!!Estimate",2019,"4,094",68,0,0,117,0,0,22,26,78,0,35,88,158,12,116,681,205,258,736,573,670,167,84,0
"Census Tract 104.07, Multnomah County, Oregon!!Estimate",2019,"3,877",46,12,0,0,0,0,0,0,116,0,18,14,21,8,87,922,190,412,831,373,526,268,26,7
"Census Tract 104.08, Multnomah County, Oregon!!Estimate",2019,"3,673",30,0,0,0,45,0,0,0,53,0,80,59,101,110,194,887,170,369,579,371,327,261,37,0
"Census Tract 104.09, Multnomah County, Oregon!!Estimate",2019,"5,438",30,0,0,0,0,0,0,0,156,0,0,48,29,16,63,"1,108",244,370,"1,008",750,"1,051",480,66,19
"Census Tract 104.10, Multnomah County, Oregon!!Estimate",2019,"2,950",28,0,0,0,18,0,9,0,0,0,47,115,106,5,111,718,152,199,476,405,444,88,9,20
"Census Tract 104.11, Multnomah County, Oregon!!Estimate",2019,"2,336",44,0,0,0,0,19,21,38,24,0,47,78,81,30,96,508,228,217,352,243,243,54,13,0
"Census Tract 105, Multnomah County, Oregon!!Estimate",2019,"2,801",12,1,0,0,0,0,0,0,15,0,0,0,52,56,48,372,119,200,525,376,548,322,93,62
"Census Tract 106, Multnomah County, Oregon!!Estimate",2019,"2,992",72,0,0,0,0,17,11,0,15,0,102,45,27,71,13,342,210,283,721,215,438,214,107,89
"Census Tract 9800, Multnomah County, Oregon!!Estimate",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
