Label (Grouping),Year,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
Census Tract 14; Multnomah County; Oregon!!Estimate,2022,"4,747",82,0,0,0,0,0,0,0,0,0,18,0,60,0,39,146,87,93,696,270,"1,998",980,122,156
Census Tract 15; Multnomah County; Oregon!!Estimate,2022,"2,720",5,0,0,0,0,0,0,0,0,0,0,5,0,1,7,155,1,136,259,103,"1,020",677,189,162
Census Tract 16.01; Multnomah County; Oregon!!Estimate,2022,"4,690",16,0,0,0,0,7,0,0,0,0,0,17,38,60,131,697,109,238,586,137,"1,551",803,219,81
Census Tract 16.02; Multnomah County; Oregon!!Estimate,2022,"3,770",90,0,0,0,8,23,0,0,37,13,0,5,48,13,52,602,80,307,504,319,"1,219",377,57,16
Census Tract 17.02; Multnomah County; Oregon!!Estimate,2022,"3,019",39,0,32,0,0,0,0,0,23,0,7,68,28,43,51,423,105,188,313,252,"1,058",300,49,40
Census Tract 17.03; Multnomah County; Oregon!!Estimate,2022,"3,163",21,0,0,0,0,0,0,0,0,0,11,0,27,190,14,157,25,142,431,161,"1,188",606,101,89
Census Tract 17.04; Multnomah County; Oregon!!Estimate,2022,"2,297",0,0,0,0,0,0,0,0,0,0,0,30,0,0,219,399,0,80,259,72,763,334,82,59
Census Tract 18.01; Multnomah County; Oregon!!Estimate,2022,"3,534",9,3,0,0,0,0,0,4,0,0,0,76,29,22,80,448,109,322,489,120,"1,075",485,153,110
Census Tract 18.02; Multnomah County; Oregon!!Estimate,2022,"2,948",0,0,0,0,0,0,0,0,6,7,0,11,0,0,20,195,35,61,437,208,"1,179",590,71,128
Census Tract 19; Multnomah County; Oregon!!Estimate,2022,"3,656",8,0,0,0,0,0,0,0,0,0,7,0,0,19,12,146,73,76,385,136,"1,326",882,454,132
Census Tract 20.01; Multnomah County; Oregon!!Estimate,2022,"2,050",15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,110,65,51,183,128,"1,062",307,111,8
Census Tract 20.02; Multnomah County; Oregon!!Estimate,2022,"3,096",9,0,0,0,0,0,0,0,0,0,0,0,23,166,21,132,40,137,535,245,"1,190",470,112,16
Census Tract 21.01; Multnomah County; Oregon!!Estimate,2022,"1,528",0,0,0,0,0,0,0,0,0,0,35,0,1,28,0,180,30,21,210,29,633,350,0,11
Census Tract 21.02; Multnomah County; Oregon!!Estimate,2022,"1,925",0,0,0,0,0,0,0,0,0,0,0,0,23,0,10,120,8,48,436,31,768,340,49,92
Census Tract 22.03; Multnomah County; Oregon!!Estimate,2022,"3,689",0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,268,133,33,289,209,"1,195","1,295",117,113
Census Tract 23.03; Multnomah County; Oregon!!Estimate,2022,"3,088",24,5,0,0,0,0,0,0,0,0,48,0,0,28,26,366,87,145,545,171,"1,005",478,87,73
Census Tract 24.01; Multnomah County; Oregon!!Estimate,2022,"2,362",0,0,0,0,0,0,0,0,0,0,16,0,0,57,15,209,0,56,202,35,814,574,197,187
Census Tract 24.02; Multnomah County; Oregon!!Estimate,2022,"2,947",0,0,0,0,0,0,0,0,0,0,0,0,20,16,0,403,65,85,290,222,"1,294",295,145,112
Census Tract 25.01; Multnomah County; Oregon!!Estimate,2022,"3,471",17,0,0,0,0,0,0,0,6,0,0,0,0,7,0,129,6,59,261,137,"1,267",950,485,147
Census Tract 25.02; Multnomah County; Oregon!!Estimate,2022,"3,532",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,74,160,353,241,"1,517",642,278,66
Census Tract 26; Multnomah County; Oregon!!Estimate,2022,"2,181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,81,36,70,80,153,"1,030",349,180,83
Census Tract 27.01; Multnomah County; Oregon!!Estimate,2022,"2,264",0,0,0,0,0,0,0,0,0,0,22,0,0,0,9,119,32,58,253,87,928,562,147,47
Census Tract 27.02; Multnomah County; Oregon!!Estimate,2022,"2,937",23,0,0,0,0,0,0,24,0,0,0,14,0,35,17,151,41,52,359,133,"1,326",463,150,149
Census Tract 28.01; Multnomah County; Oregon!!Estimate,2022,"2,427",14,0,0,0,0,0,0,0,0,0,5,0,9,0,37,145,92,36,221,219,"1,006",456,142,45
Census Tract 28.02; Multnomah County; Oregon!!Estimate,2022,"2,399",4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,304,43,108,340,92,867,412,92,120
Census Tract 29.01; Multnomah County; Oregon!!Estimate,2022,"3,871",50,0,0,0,0,0,0,28,0,0,0,0,40,0,40,383,69,154,587,390,"1,440",562,57,71
Census Tract 29.02; Multnomah County; Oregon!!Estimate,2022,"4,877",70,0,0,0,0,79,0,0,49,15,27,35,0,71,24,529,116,201,744,289,"1,350","1,017",181,80
Census Tract 29.03; Multnomah County; Oregon!!Estimate,2022,"3,197",91,0,0,0,0,0,71,0,0,0,0,63,0,80,20,363,105,329,667,350,604,337,72,45
Census Tract 30; Multnomah County; Oregon!!Estimate,2022,"4,164",106,0,0,0,0,0,0,0,0,0,0,28,6,0,76,182,29,343,627,406,"1,379",577,315,90
Census Tract 31; Multnomah County; Oregon!!Estimate,2022,"4,218",1,0,0,0,0,13,0,0,0,0,0,13,1,1,61,209,165,136,445,387,"1,415",857,391,123
Census Tract 32; Multnomah County; Oregon!!Estimate,2022,"3,405",0,0,0,0,0,0,0,0,0,24,0,16,32,17,23,242,98,88,371,123,"1,289",747,239,96
Census Tract 33.01; Multnomah County; Oregon!!Estimate,2022,"2,294",43,0,0,0,0,0,0,0,0,0,4,0,10,20,8,150,144,224,352,134,654,434,37,80
Census Tract 33.02; Multnomah County; Oregon!!Estimate,2022,"2,834",0,0,0,0,0,0,0,0,0,0,0,29,0,7,28,591,0,185,410,103,701,573,142,65
Census Tract 34.01; Multnomah County; Oregon!!Estimate,2022,"2,838",8,0,0,0,0,0,0,0,0,0,10,0,8,0,54,345,86,95,177,241,"1,098",483,153,80
Census Tract 34.02; Multnomah County; Oregon!!Estimate,2022,"3,680",0,0,0,0,0,0,0,0,0,25,1,246,16,2,59,389,85,127,327,182,"1,622",457,119,23
Census Tract 35.01; Multnomah County; Oregon!!Estimate,2022,"3,003",21,0,0,0,0,40,0,0,0,0,13,0,6,37,10,224,76,122,489,70,"1,308",422,84,81
Census Tract 35.02; Multnomah County; Oregon!!Estimate,2022,"2,524",8,0,0,0,0,0,0,0,0,0,0,0,59,3,99,462,61,64,194,85,"1,088",222,139,40
Census Tract 36.01; Multnomah County; Oregon!!Estimate,2022,"3,439",25,0,0,0,0,0,0,0,0,0,0,0,0,20,8,310,73,301,492,287,"1,292",578,37,16
Census Tract 36.02; Multnomah County; Oregon!!Estimate,2022,"4,937",52,0,0,0,0,0,0,0,0,70,0,0,16,7,19,434,35,178,923,280,"1,988",767,12,156
Census Tract 36.03; Multnomah County; Oregon!!Estimate,2022,"1,426",64,0,0,0,0,17,0,8,0,7,0,0,9,36,15,210,26,49,146,65,544,169,57,4
Census Tract 37.01; Multnomah County; Oregon!!Estimate,2022,"3,589",117,0,0,0,0,0,0,0,0,12,7,32,0,21,33,389,39,154,655,319,"1,130",544,76,61
Census Tract 37.02; Multnomah County; Oregon!!Estimate,2022,"2,075",0,0,0,0,0,13,0,0,0,5,0,18,31,5,9,122,14,22,369,57,835,389,157,29
Census Tract 38.01; Multnomah County; Oregon!!Estimate,2022,"2,184",23,0,0,0,0,0,0,0,0,0,5,0,0,0,29,283,38,55,355,182,749,361,60,44
