Label (Grouping),Year,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
Census Tract 60.01; Multnomah County; Oregon!!Estimate,2022,"1,173",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,36,26,40,100,12,509,209,154,85
Census Tract 60.02; Multnomah County; Oregon!!Estimate,2022,"1,810",0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,171,10,61,115,107,787,300,127,106
Census Tract 61; Multnomah County; Oregon!!Estimate,2022,"1,925",0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,103,35,0,105,32,822,503,227,71
Census Tract 62; Multnomah County; Oregon!!Estimate,2022,"2,449",0,1,0,0,0,0,0,0,0,0,9,0,0,8,0,144,23,99,188,147,"1,112",404,204,110
Census Tract 63; Multnomah County; Oregon!!Estimate,2022,"3,328",42,0,0,0,0,0,0,0,0,0,0,0,0,3,5,165,0,53,449,86,"1,389",519,528,89
Census Tract 64.02; Multnomah County; Oregon!!Estimate,2022,"4,608",0,0,0,0,0,26,0,0,0,0,0,0,0,17,36,179,0,106,439,254,"1,750",960,518,323
Census Tract 64.03; Multnomah County; Oregon!!Estimate,2022,"3,051",34,0,0,0,0,0,0,0,0,0,71,0,0,32,26,167,120,251,456,285,"1,063",369,109,68
Census Tract 64.04; Multnomah County; Oregon!!Estimate,2022,"2,618",0,0,0,0,0,0,0,0,0,0,0,0,8,37,9,208,39,116,432,259,820,383,214,93
Census Tract 65.01; Multnomah County; Oregon!!Estimate,2022,"4,503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,410,28,428,675,259,"1,619",606,361,103
Census Tract 65.02; Multnomah County; Oregon!!Estimate,2022,"3,754",18,0,0,0,0,0,0,0,0,0,0,17,0,66,0,137,0,86,895,293,"1,479",584,111,68
Census Tract 66.01; Multnomah County; Oregon!!Estimate,2022,"2,230",0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,117,18,84,314,114,946,340,147,141
Census Tract 66.02; Multnomah County; Oregon!!Estimate,2022,"4,323",167,0,0,0,0,0,0,0,23,0,36,0,0,0,51,209,89,206,628,223,"1,423",894,198,176
Census Tract 67.01; Multnomah County; Oregon!!Estimate,2022,"2,404",0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,248,25,126,183,168,968,434,128,108
Census Tract 67.02; Multnomah County; Oregon!!Estimate,2022,"2,487",7,0,0,0,0,0,0,0,0,0,10,0,0,9,10,154,57,115,441,86,"1,079",366,99,54
Census Tract 68.01; Multnomah County; Oregon!!Estimate,2022,"1,641",0,0,0,0,0,0,0,0,1,0,10,0,0,0,18,205,41,83,135,66,465,374,166,77
Census Tract 68.02; Multnomah County; Oregon!!Estimate,2022,"2,577",24,0,0,0,0,0,0,0,0,0,0,0,0,0,15,183,8,31,257,81,973,512,286,207
Census Tract 69; Multnomah County; Oregon!!Estimate,2022,"2,089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,22,22,238,41,864,419,296,75
Census Tract 70.01; Multnomah County; Oregon!!Estimate,2022,"4,031",0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,55,13,71,317,113,"1,585",975,615,265
Census Tract 70.02; Multnomah County; Oregon!!Estimate,2022,"2,084",5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,70,15,55,182,84,871,545,181,69
Census Tract 71; Multnomah County; Oregon!!Estimate,2022,"1,949",0,0,0,0,0,0,15,0,0,0,0,0,3,0,65,252,20,83,552,115,446,298,50,50
Census Tract 72.01; Multnomah County; Oregon!!Estimate,2022,"2,167",15,0,0,0,0,0,11,0,16,0,0,0,22,27,37,393,63,154,435,197,404,241,93,59
Census Tract 72.02; Multnomah County; Oregon!!Estimate,2022,"2,504",46,0,0,0,0,0,58,0,98,0,9,0,0,0,89,226,33,111,617,246,719,171,72,9
Census Tract 73; Multnomah County; Oregon!!Estimate,2022,"1,077",6,0,0,0,0,0,0,5,5,0,16,37,75,77,20,122,232,177,214,56,9,4,22,0
Census Tract 74; Multnomah County; Oregon!!Estimate,2022,"2,348",39,0,0,0,0,16,0,66,54,0,56,0,9,6,75,264,88,190,294,193,655,268,29,46
Census Tract 75; Multnomah County; Oregon!!Estimate,2022,"3,707",18,0,0,0,0,0,0,4,0,0,0,4,32,14,56,554,190,181,487,244,"1,271",420,103,129
Census Tract 76; Multnomah County; Oregon!!Estimate,2022,"2,505",52,0,0,0,0,0,0,0,86,0,6,15,0,23,121,192,77,93,390,221,874,292,46,17
Census Tract 77; Multnomah County; Oregon!!Estimate,2022,"1,729",25,0,0,0,0,0,0,0,34,20,6,20,18,30,44,289,67,69,189,215,562,92,8,41
Census Tract 78; Multnomah County; Oregon!!Estimate,2022,"1,511",10,0,0,0,1,0,0,0,43,4,0,7,20,20,62,344,40,114,230,130,340,98,34,14
Census Tract 79; Multnomah County; Oregon!!Estimate,2022,"3,227",128,0,0,0,0,0,0,0,64,33,41,23,44,20,162,673,55,203,602,177,646,262,72,22
Census Tract 80.01; Multnomah County; Oregon!!Estimate,2022,"2,331",92,0,0,0,0,0,0,0,0,0,23,5,60,44,88,341,122,187,334,257,619,115,12,32
Census Tract 80.02; Multnomah County; Oregon!!Estimate,2022,"2,404",56,0,0,0,0,0,0,0,65,0,0,111,47,0,12,556,45,169,477,183,518,148,6,11
Census Tract 81; Multnomah County; Oregon!!Estimate,2022,"6,088",97,5,0,0,0,0,0,70,90,0,30,80,42,97,114,"1,648",642,218,583,656,"1,191",414,37,74
Census Tract 82.01; Multnomah County; Oregon!!Estimate,2022,"2,470",161,0,0,0,0,7,0,60,21,0,10,17,41,115,60,259,130,150,407,109,603,282,38,0
