Label (Grouping),Year,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Census Tract 56.02, Multnomah County, Oregon!!Estimate",2021,846,30,0,0,0,0,0,0,0,38,0,0,0,0,0,0,68,138,45,141,79,227,80,0,0
"Census Tract 57.01, Multnomah County, Oregon!!Estimate",2021,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,20,0,39,14,154,19,19,51
"Census Tract 57.02, Multnomah County, Oregon!!Estimate",2021,"3,138",0,0,0,0,0,0,0,33,0,0,21,0,0,22,17,72,63,95,545,75,"1,269",587,169,170
"Census Tract 58, Multnomah County, Oregon!!Estimate",2021,"3,625",15,0,0,0,0,0,0,0,0,0,25,0,0,1,0,122,23,122,373,261,"1,241",657,430,355
"Census Tract 59.01, Multnomah County, Oregon!!Estimate",2021,"2,199",0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,38,0,7,449,93,"1,042",359,102,87
"Census Tract 59.02, Multnomah County, Oregon!!Estimate",2021,"2,914",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,18,78,205,58,"1,029",732,547,196
"Census Tract 59.03, Multnomah County, Oregon!!Estimate",2021,"2,723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,54,320,146,"1,176",572,318,40
"Census Tract 60.01, Multnomah County, Oregon!!Estimate",2021,"1,194",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,19,12,23,120,8,567,223,156,64
"Census Tract 60.02, Multnomah County, Oregon!!Estimate",2021,"1,818",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,159,16,76,124,99,710,350,159,107
"Census Tract 61, Multnomah County, Oregon!!Estimate",2021,"2,023",8,0,0,0,0,0,0,0,0,6,0,0,31,0,0,132,28,0,164,31,824,536,202,61
"Census Tract 62, Multnomah County, Oregon!!Estimate",2021,"2,522",0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,161,14,89,201,205,"1,098",438,192,120
"Census Tract 63, Multnomah County, Oregon!!Estimate",2021,"3,391",14,0,0,0,0,0,0,0,0,0,0,8,0,17,6,155,8,82,439,93,"1,393",566,529,81
"Census Tract 64.02, Multnomah County, Oregon!!Estimate",2021,"4,687",0,0,0,0,0,33,0,0,0,0,0,0,0,5,15,269,0,189,441,159,"1,745",944,615,272
"Census Tract 64.03, Multnomah County, Oregon!!Estimate",2021,"3,202",49,0,0,0,0,0,0,0,0,2,144,0,12,34,45,248,105,251,404,283,"1,119",330,152,24
"Census Tract 64.04, Multnomah County, Oregon!!Estimate",2021,"2,781",8,0,0,0,0,0,0,0,0,0,0,0,8,33,13,244,44,110,396,248,862,456,265,94
"Census Tract 65.01, Multnomah County, Oregon!!Estimate",2021,"4,431",0,0,0,0,0,0,0,0,0,0,24,0,63,0,11,457,33,254,615,242,"1,577",743,293,119
"Census Tract 65.02, Multnomah County, Oregon!!Estimate",2021,"3,814",0,0,0,0,0,0,0,0,1,0,0,20,0,75,0,275,15,65,771,251,"1,519",586,136,100
"Census Tract 66.01, Multnomah County, Oregon!!Estimate",2021,"2,233",0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,129,27,65,323,111,921,334,163,152
"Census Tract 66.02, Multnomah County, Oregon!!Estimate",2021,"4,266",0,0,0,0,0,0,0,0,21,0,30,0,0,0,34,259,42,101,596,237,"1,522","1,033",222,169
"Census Tract 67.01, Multnomah County, Oregon!!Estimate",2021,"2,344",5,0,0,0,0,0,0,0,0,0,0,0,9,0,7,225,19,112,184,141,"1,000",457,102,83
"Census Tract 67.02, Multnomah County, Oregon!!Estimate",2021,"2,547",8,0,0,0,0,0,0,0,0,0,91,0,0,7,9,218,62,115,324,76,965,379,197,96
"Census Tract 68.01, Multnomah County, Oregon!!Estimate",2021,"1,591",0,0,0,0,0,0,0,0,1,0,9,0,39,7,14,162,35,75,147,27,508,372,119,76
"Census Tract 68.02, Multnomah County, Oregon!!Estimate",2021,"2,766",80,0,0,0,0,0,0,0,3,0,0,0,0,0,34,132,8,50,311,167,975,505,307,194
"Census Tract 69, Multnomah County, Oregon!!Estimate",2021,"1,976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,20,8,247,49,771,428,264,64
"Census Tract 70.01, Multnomah County, Oregon!!Estimate",2021,"3,928",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,29,60,304,131,"1,511",982,565,214
"Census Tract 70.02, Multnomah County, Oregon!!Estimate",2021,"2,145",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,98,122,100,836,664,205,44
"Census Tract 71, Multnomah County, Oregon!!Estimate",2021,"1,782",0,0,0,0,0,0,18,0,0,0,0,0,28,8,59,198,21,78,470,106,504,220,46,26
"Census Tract 72.01, Multnomah County, Oregon!!Estimate",2021,"2,096",24,0,0,0,0,0,14,0,0,0,10,0,35,54,36,369,66,197,378,214,343,251,51,54
"Census Tract 72.02, Multnomah County, Oregon!!Estimate",2021,"2,495",49,0,0,0,0,0,58,0,108,0,15,0,0,13,39,226,48,77,541,289,788,144,50,50
"Census Tract 73, Multnomah County, Oregon!!Estimate",2021,934,7,0,0,0,0,0,0,4,4,10,17,21,41,50,12,140,159,203,195,46,15,5,5,0
"Census Tract 74, Multnomah County, Oregon!!Estimate",2021,"2,332",39,0,0,0,0,16,0,50,56,0,42,50,11,17,45,258,66,133,377,214,586,276,45,51
"Census Tract 75, Multnomah County, Oregon!!Estimate",2021,"3,614",39,0,0,0,0,0,0,5,0,0,28,4,16,16,57,588,153,124,562,220,"1,199",398,101,104
"Census Tract 76, Multnomah County, Oregon!!Estimate",2021,"2,501",81,0,0,0,0,0,0,0,115,0,19,65,5,22,135,363,128,96,376,157,710,175,40,14
"Census Tract 77, Multnomah County, Oregon!!Estimate",2021,"1,759",8,0,0,0,0,0,0,0,16,22,2,7,15,41,36,403,60,76,246,201,467,114,5,40
"Census Tract 78, Multnomah County, Oregon!!Estimate",2021,"1,571",18,16,0,0,1,0,0,0,43,7,0,6,32,32,30,398,73,124,235,152,265,89,36,14
"Census Tract 79, Multnomah County, Oregon!!Estimate",2021,"3,152",127,0,0,0,0,0,0,0,36,36,37,41,50,24,140,651,52,207,593,228,618,227,75,10
"Census Tract 80.01, Multnomah County, Oregon!!Estimate",2021,"2,388",75,0,0,0,0,0,0,0,0,0,24,5,45,40,76,450,96,189,352,288,583,131,12,22
"Census Tract 80.02, Multnomah County, Oregon!!Estimate",2021,"2,494",45,0,0,0,0,0,0,0,71,15,0,112,4,19,0,661,16,133,582,200,456,164,6,10
"Census Tract 81, Multnomah County, Oregon!!Estimate",2021,"6,073",120,6,0,0,0,0,0,59,78,0,31,90,47,117,103,"1,833",475,250,552,637,"1,199",387,4,85
"Census Tract 82.01, Multnomah County, Oregon!!Estimate",2021,"2,448",140,0,0,0,0,8,0,19,33,10,10,24,35,25,61,289,105,114,449,124,628,311,63,0
"Census Tract 82.03, Multnomah County, Oregon!!Estimate",2021,"4,202",0,0,0,0,0,13,50,62,0,73,0,39,48,15,124,"1,233",200,249,759,443,634,191,54,15
"Census Tract 82.04, Multnomah County, Oregon!!Estimate",2021,"1,857",47,84,0,0,0,0,0,22,233,0,31,80,8,55,159,491,4,75,220,216,53,79,0,0
"Census Tract 83.01, Multnomah County, Oregon!!Estimate",2021,"2,884",206,0,0,15,17,28,0,0,11,10,51,45,21,17,128,511,87,106,484,284,605,163,44,51
"Census Tract 83.02, Multnomah County, Oregon!!Estimate",2021,"3,531",149,0,0,0,0,0,9,81,33,0,16,44,129,112,61,693,218,175,560,442,511,264,3,31
"Census Tract 84, Multnomah County, Oregon!!Estimate",2021,"3,183",189,0,0,0,0,0,0,7,55,0,99,57,27,79,98,584,148,545,383,225,560,121,0,6
