Label (Grouping),Year,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Census Tract 100.02, Multnomah County, Oregon!!Estimate",2021,"3,938",66,0,0,0,0,0,0,0,7,4,0,0,82,28,36,642,232,186,"1,015",453,849,212,97,29
"Census Tract 101.01, Multnomah County, Oregon!!Estimate",2021,"2,874",10,0,0,0,33,0,0,57,83,0,0,109,17,28,39,674,312,289,457,271,342,153,0,0
"Census Tract 101.02, Multnomah County, Oregon!!Estimate",2021,"3,154",0,0,0,109,0,24,0,0,0,0,0,0,40,114,65,659,89,175,487,564,490,223,56,59
"Census Tract 102, Multnomah County, Oregon!!Estimate",2021,"5,454",81,0,0,0,0,47,39,0,45,0,80,137,98,77,103,"1,118",311,762,999,415,888,210,24,20
"Census Tract 103.03, Multnomah County, Oregon!!Estimate",2021,"3,752",52,0,0,0,0,0,35,0,23,0,83,66,1,88,60,836,264,292,523,423,603,374,17,12
"Census Tract 103.04, Multnomah County, Oregon!!Estimate",2021,"3,168",62,0,0,30,0,45,19,33,126,0,67,112,72,60,65,830,235,243,530,205,230,122,82,0
"Census Tract 103.05, Multnomah County, Oregon!!Estimate",2021,"2,374",64,5,0,0,0,15,0,0,0,0,0,10,21,21,23,531,119,192,500,339,388,125,6,15
"Census Tract 103.06, Multnomah County, Oregon!!Estimate",2021,"3,222",86,0,0,0,0,0,0,0,0,0,0,22,32,7,89,750,109,358,479,393,726,141,9,21
"Census Tract 104.02, Multnomah County, Oregon!!Estimate",2021,"4,282",41,53,0,0,0,0,0,64,60,0,8,0,27,31,39,896,213,425,694,553,849,235,64,30
"Census Tract 104.05, Multnomah County, Oregon!!Estimate",2021,"4,353",12,0,0,0,0,0,45,0,0,0,0,22,37,0,206,"1,164",152,418,682,585,692,183,119,36
"Census Tract 104.07, Multnomah County, Oregon!!Estimate",2021,"3,878",32,7,0,0,0,0,0,0,101,0,19,15,20,31,33,801,231,381,906,420,475,330,55,21
"Census Tract 104.08, Multnomah County, Oregon!!Estimate",2021,"4,320",54,0,0,0,39,0,0,0,42,0,105,75,97,188,242,"1,075",131,448,473,528,747,54,15,7
"Census Tract 104.10, Multnomah County, Oregon!!Estimate",2021,"3,117",0,0,0,0,0,0,0,0,0,0,34,83,138,14,75,828,327,202,489,325,422,171,0,9
"Census Tract 104.11, Multnomah County, Oregon!!Estimate",2021,"2,298",53,0,0,0,0,6,7,0,7,0,10,71,74,22,32,635,166,300,298,340,205,59,13,0
"Census Tract 104.12, Multnomah County, Oregon!!Estimate",2021,"2,169",10,0,0,0,0,0,0,0,0,0,0,13,0,33,21,538,133,300,321,186,524,76,14,0
"Census Tract 104.13, Multnomah County, Oregon!!Estimate",2021,"3,448",31,0,0,0,0,0,0,0,118,0,0,0,0,0,78,646,130,456,666,317,480,418,68,40
"Census Tract 105, Multnomah County, Oregon!!Estimate",2021,"2,763",33,1,0,0,0,0,0,0,8,0,0,6,25,57,58,378,71,166,394,353,877,242,31,63
"Census Tract 106.01, Multnomah County, Oregon!!Estimate",2021,"1,349",21,0,0,0,0,0,15,0,0,0,51,33,11,0,0,176,53,86,349,131,169,148,63,43
"Census Tract 106.02, Multnomah County, Oregon!!Estimate",2021,"1,871",15,0,0,0,0,18,0,0,26,0,11,24,31,56,0,235,174,268,612,39,270,36,15,41
"Census Tract 9800, Multnomah County, Oregon!!Estimate",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
