Label (Grouping),Year,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Census Tract 1.01, Multnomah County, Oregon!!Estimate",2020,"2,007",0,0,0,0,0,0,0,0,0,1,0,0,0,17,1,117,64,37,247,100,884,354,77,108
"Census Tract 1.02, Multnomah County, Oregon!!Estimate",2020,"2,889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,153,53,122,254,159,"1,192",479,310,130
"Census Tract 2.01, Multnomah County, Oregon!!Estimate",2020,"2,697",78,0,0,0,0,0,0,0,0,0,1,0,0,86,23,406,98,72,616,174,684,270,144,45
"Census Tract 2.02, Multnomah County, Oregon!!Estimate",2020,"2,197",4,0,0,0,0,0,16,0,0,0,0,0,0,0,14,126,18,188,462,76,717,435,41,100
"Census Tract 3.01, Multnomah County, Oregon!!Estimate",2020,"3,769",0,0,0,0,0,0,0,0,0,18,25,0,22,77,23,522,99,96,526,320,"1,088",740,125,88
"Census Tract 3.02, Multnomah County, Oregon!!Estimate",2020,"5,577",133,0,0,0,0,0,0,0,0,0,0,8,13,18,12,326,113,162,578,295,"1,869","1,438",446,166
"Census Tract 4.01, Multnomah County, Oregon!!Estimate",2020,"2,720",7,0,0,0,0,9,0,0,14,0,0,0,0,25,7,336,37,134,418,127,859,466,195,86
"Census Tract 4.02, Multnomah County, Oregon!!Estimate",2020,"2,633",0,10,0,0,0,0,0,0,0,0,0,7,12,31,61,365,152,180,376,252,776,333,29,49
"Census Tract 5.01, Multnomah County, Oregon!!Estimate",2020,"3,194",21,0,0,0,0,0,0,10,0,22,80,8,40,51,48,318,204,173,475,188,"1,033",402,41,80
"Census Tract 5.02, Multnomah County, Oregon!!Estimate",2020,"3,782",213,0,0,0,0,19,0,0,7,7,23,24,22,24,53,430,151,327,744,230,"1,012",351,116,29
"Census Tract 6.01, Multnomah County, Oregon!!Estimate",2020,"3,984",132,0,0,0,0,0,0,23,54,0,19,11,27,56,123,902,232,272,598,308,879,312,27,9
"Census Tract 6.02, Multnomah County, Oregon!!Estimate",2020,"4,725",145,0,0,0,0,0,7,0,82,0,181,134,79,21,165,"1,159",286,311,594,421,843,258,19,20
"Census Tract 7.01, Multnomah County, Oregon!!Estimate",2020,"3,741",32,0,0,9,0,18,0,0,0,0,47,16,11,2,54,323,71,104,808,380,"1,251",509,50,56
"Census Tract 7.02, Multnomah County, Oregon!!Estimate",2020,"4,345",142,0,0,0,20,0,0,6,14,0,36,79,14,34,61,513,316,207,574,500,"1,075",582,119,53
"Census Tract 8.01, Multnomah County, Oregon!!Estimate",2020,"3,991",46,0,0,0,0,0,0,11,0,0,16,0,12,17,0,278,120,229,820,304,"1,166",427,405,140
"Census Tract 8.02, Multnomah County, Oregon!!Estimate",2020,"4,133",0,0,0,0,0,0,0,0,43,50,32,120,0,47,21,459,76,236,707,284,"1,608",361,38,51
"Census Tract 9.01, Multnomah County, Oregon!!Estimate",2020,"3,509",7,0,0,0,0,0,0,0,12,0,0,0,0,0,18,146,24,42,504,306,"1,494",659,191,106
"Census Tract 9.02, Multnomah County, Oregon!!Estimate",2020,"4,162",54,0,0,0,10,17,1,0,0,0,114,25,42,151,56,473,107,280,746,222,"1,227",452,136,49
"Census Tract 10, Multnomah County, Oregon!!Estimate",2020,"4,888",56,0,0,0,0,0,0,0,0,0,52,43,60,0,103,332,33,182,994,252,"1,623",812,263,83
"Census Tract 11.01, Multnomah County, Oregon!!Estimate",2020,"2,631",9,0,0,0,0,0,0,0,2,0,0,32,9,13,12,311,84,151,480,125,962,324,81,36
"Census Tract 11.02, Multnomah County, Oregon!!Estimate",2020,"1,197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,4,50,149,66,503,218,77,25
"Census Tract 12.02, Multnomah County, Oregon!!Estimate",2020,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,522,14,118,365,77,987,656,172,87
"Census Tract 12.03, Multnomah County, Oregon!!Estimate",2020,"2,234",19,0,0,0,0,0,0,0,9,0,0,0,0,0,0,210,73,55,283,181,"1,009",269,84,42
"Census Tract 12.04, Multnomah County, Oregon!!Estimate",2020,"2,246",8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,226,91,71,481,53,885,238,41,144
"Census Tract 13.01, Multnomah County, Oregon!!Estimate",2020,"3,365",31,0,0,0,0,5,0,0,4,0,0,0,4,16,15,242,14,92,506,105,"1,504",550,190,87
"Census Tract 13.02, Multnomah County, Oregon!!Estimate",2020,"2,946",23,0,0,0,0,0,0,0,0,0,0,0,9,0,16,165,54,62,319,170,"1,107",725,239,57
"Census Tract 14, Multnomah County, Oregon!!Estimate",2020,"4,645",56,0,0,0,0,0,0,0,0,28,22,0,81,0,71,117,123,173,848,305,"1,842",727,133,119
"Census Tract 15, Multnomah County, Oregon!!Estimate",2020,"2,720",4,0,0,0,0,0,0,0,0,0,0,0,0,7,9,170,2,122,280,175,896,733,192,130
"Census Tract 16.01, Multnomah County, Oregon!!Estimate",2020,"4,480",18,0,0,0,0,6,0,0,37,8,26,40,11,19,191,518,103,234,623,156,"1,525",710,206,49
"Census Tract 16.02, Multnomah County, Oregon!!Estimate",2020,"3,872",67,0,0,0,12,26,0,0,0,3,2,12,73,16,47,639,106,254,485,409,"1,326",317,39,39
"Census Tract 17.02, Multnomah County, Oregon!!Estimate",2020,"2,970",74,0,0,1,0,0,0,0,20,0,8,35,10,0,15,349,50,212,571,369,916,279,27,34
"Census Tract 17.03, Multnomah County, Oregon!!Estimate",2020,"3,049",64,0,0,0,0,0,0,0,10,0,0,0,47,20,0,272,17,175,517,217,959,581,60,110
"Census Tract 17.04, Multnomah County, Oregon!!Estimate",2020,"2,137",11,0,0,0,0,0,0,0,0,0,0,42,0,0,180,418,26,101,307,47,578,338,37,52
"Census Tract 18.01, Multnomah County, Oregon!!Estimate",2020,"3,713",44,3,0,0,25,0,0,3,0,0,5,4,38,3,84,529,134,160,533,158,"1,282",519,102,87
"Census Tract 18.02, Multnomah County, Oregon!!Estimate",2020,"2,855",0,0,0,0,0,0,0,0,0,0,0,21,0,0,26,230,52,78,558,280,922,490,109,89
"Census Tract 19, Multnomah County, Oregon!!Estimate",2020,"3,805",0,0,0,0,0,0,0,9,0,0,6,5,6,14,13,205,62,136,364,133,"1,625",778,294,155
"Census Tract 20.01, Multnomah County, Oregon!!Estimate",2020,"2,312",13,0,0,0,0,0,0,0,0,0,0,0,0,0,84,166,115,117,262,107,"1,072",333,32,11
"Census Tract 20.02, Multnomah County, Oregon!!Estimate",2020,"3,210",5,0,0,0,0,0,0,0,0,0,0,0,17,142,0,158,43,149,623,147,"1,266",548,91,21
"Census Tract 21.01, Multnomah County, Oregon!!Estimate",2020,"1,311",0,0,0,0,0,0,0,0,0,0,20,0,0,17,20,99,21,74,141,0,552,357,0,10
"Census Tract 21.02, Multnomah County, Oregon!!Estimate",2020,"1,849",0,0,0,0,0,0,0,0,0,0,11,0,13,0,9,81,11,21,435,41,977,217,29,4
"Census Tract 22.03, Multnomah County, Oregon!!Estimate",2020,"3,794",11,0,0,0,0,0,0,0,0,0,34,9,8,17,21,391,100,109,378,187,"1,215","1,095",101,118
"Census Tract 23.03, Multnomah County, Oregon!!Estimate",2020,"3,179",0,10,0,0,0,0,0,0,0,0,0,24,0,17,23,287,51,136,539,233,"1,295",421,110,33
"Census Tract 24.01, Multnomah County, Oregon!!Estimate",2020,"2,197",0,0,0,0,0,0,0,0,0,0,0,0,35,67,24,161,33,70,217,65,735,551,141,98
"Census Tract 24.02, Multnomah County, Oregon!!Estimate",2020,"2,874",0,0,0,0,0,0,0,0,0,0,0,0,20,21,0,335,68,69,306,136,"1,255",366,188,110
"Census Tract 25.01, Multnomah County, Oregon!!Estimate",2020,"3,556",14,0,0,0,0,0,0,7,0,0,0,0,22,7,0,139,15,26,240,110,"1,388",898,484,206
"Census Tract 25.02, Multnomah County, Oregon!!Estimate",2020,"3,560",31,0,0,0,0,0,0,0,0,0,14,0,0,0,0,237,131,257,287,241,"1,360",697,246,59
"Census Tract 26, Multnomah County, Oregon!!Estimate",2020,"2,229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,34,35,116,154,89,953,414,200,118
"Census Tract 27.01, Multnomah County, Oregon!!Estimate",2020,"2,188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,111,40,35,357,50,875,480,153,77
"Census Tract 27.02, Multnomah County, Oregon!!Estimate",2020,"2,987",18,0,0,0,0,0,0,16,0,0,0,22,10,35,21,246,98,36,299,160,"1,338",452,155,81
"Census Tract 28.01, Multnomah County, Oregon!!Estimate",2020,"2,363",35,0,0,0,0,0,0,0,0,0,0,0,25,0,43,189,64,76,276,230,904,396,93,32
"Census Tract 28.02, Multnomah County, Oregon!!Estimate",2020,"2,515",3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,258,77,151,330,139,913,485,71,63
"Census Tract 29.01, Multnomah County, Oregon!!Estimate",2020,"4,010",126,0,0,0,0,0,0,13,0,0,0,0,40,0,15,461,105,152,676,286,"1,464",501,106,65
"Census Tract 29.02, Multnomah County, Oregon!!Estimate",2020,"4,698",112,0,0,0,0,0,0,0,0,0,0,35,0,0,27,515,71,239,557,362,"1,407",988,293,92
"Census Tract 29.03, Multnomah County, Oregon!!Estimate",2020,"3,457",32,0,0,0,0,0,76,0,0,0,0,90,0,61,10,801,81,368,556,371,711,238,33,29
"Census Tract 30, Multnomah County, Oregon!!Estimate",2020,"4,031",31,0,0,0,0,0,0,0,0,0,14,0,15,5,0,217,72,286,622,250,"1,441",757,216,105
"Census Tract 31, Multnomah County, Oregon!!Estimate",2020,"4,173",0,0,0,0,0,12,0,0,0,0,10,12,0,12,15,202,192,133,589,336,"1,494",695,339,132
"Census Tract 32, Multnomah County, Oregon!!Estimate",2020,"3,425",16,0,0,0,0,0,0,0,0,20,0,16,27,12,17,260,37,85,318,117,"1,274",805,278,143
"Census Tract 33.01, Multnomah County, Oregon!!Estimate",2020,"2,366",65,0,0,0,0,0,0,0,0,0,0,0,28,33,10,269,98,220,349,119,681,363,68,63
