Label (Grouping),Year,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Census Tract 33.02, Multnomah County, Oregon!!Estimate",2020,"2,820",0,0,0,0,0,0,0,0,0,0,0,54,0,13,54,613,42,149,451,67,724,525,113,15
"Census Tract 34.01, Multnomah County, Oregon!!Estimate",2020,"2,764",9,0,0,0,0,0,0,0,0,0,4,0,9,0,32,360,96,102,196,276,963,491,161,65
"Census Tract 34.02, Multnomah County, Oregon!!Estimate",2020,"3,761",0,0,0,0,0,0,0,0,0,29,1,23,37,1,20,261,52,84,227,220,"1,956",614,150,86
"Census Tract 35.01, Multnomah County, Oregon!!Estimate",2020,"2,786",39,0,0,0,0,0,0,0,0,0,0,0,5,24,0,184,161,178,322,98,"1,235",368,96,76
"Census Tract 35.02, Multnomah County, Oregon!!Estimate",2020,"2,413",10,0,0,0,0,0,0,0,0,0,0,0,0,3,94,450,50,54,237,64,"1,002",313,93,43
"Census Tract 36.01, Multnomah County, Oregon!!Estimate",2020,"3,701",9,0,0,0,0,0,0,0,0,0,0,10,0,17,91,273,82,220,442,328,"1,388",670,132,39
"Census Tract 36.02, Multnomah County, Oregon!!Estimate",2020,"5,223",58,0,0,0,0,1,0,0,1,41,0,0,0,13,82,427,87,117,"1,172",302,"1,855",857,84,126
"Census Tract 36.03, Multnomah County, Oregon!!Estimate",2020,"1,487",68,0,0,0,0,8,0,10,0,0,0,0,23,28,7,250,19,31,178,94,535,157,65,14
"Census Tract 37.01, Multnomah County, Oregon!!Estimate",2020,"3,503",141,0,0,0,42,0,15,0,108,9,31,21,35,5,13,397,72,191,558,169,"1,116",475,45,60
"Census Tract 37.02, Multnomah County, Oregon!!Estimate",2020,"2,260",0,0,0,0,0,0,0,0,0,0,0,17,27,16,10,181,36,37,385,133,927,334,143,14
"Census Tract 38.01, Multnomah County, Oregon!!Estimate",2020,"2,228",28,0,0,0,0,0,0,0,0,0,7,0,0,16,41,189,64,91,404,173,778,342,51,44
"Census Tract 38.02, Multnomah County, Oregon!!Estimate",2020,"2,688",32,0,0,0,0,0,0,0,24,0,16,11,0,7,42,255,80,143,279,313,965,390,74,57
"Census Tract 38.03, Multnomah County, Oregon!!Estimate",2020,"3,487",9,0,25,0,9,6,0,0,0,0,41,0,0,11,17,320,31,110,517,219,"1,652",337,70,113
"Census Tract 39.02, Multnomah County, Oregon!!Estimate",2020,"2,886",7,0,0,0,0,0,0,0,0,6,15,14,0,0,10,285,58,202,394,167,955,512,112,149
"Census Tract 39.03, Multnomah County, Oregon!!Estimate",2020,"2,900",0,0,0,0,0,0,0,0,29,0,120,95,69,1,42,430,81,162,371,153,771,433,143,0
"Census Tract 39.04, Multnomah County, Oregon!!Estimate",2020,"3,142",27,0,0,0,0,0,22,0,22,0,0,0,0,51,32,354,23,163,568,236,"1,025",475,107,37
"Census Tract 40.02, Multnomah County, Oregon!!Estimate",2020,"2,990",14,0,0,0,0,0,0,0,5,0,0,0,0,0,28,323,177,201,266,188,966,655,77,90
"Census Tract 40.03, Multnomah County, Oregon!!Estimate",2020,"5,051",314,0,0,0,0,47,41,36,52,0,21,67,245,208,80,825,175,248,936,248,"1,156",286,53,13
"Census Tract 41.02, Multnomah County, Oregon!!Estimate",2020,"4,492",59,0,0,0,0,0,11,0,0,0,26,54,28,12,76,628,435,195,442,210,"1,529",677,72,38
"Census Tract 41.03, Multnomah County, Oregon!!Estimate",2020,"3,380",47,0,0,0,0,0,0,47,0,0,0,25,47,0,64,467,49,260,445,371,"1,178",288,24,68
"Census Tract 41.04, Multnomah County, Oregon!!Estimate",2020,"2,204",0,0,0,0,0,41,0,41,64,0,0,73,12,137,3,456,111,74,406,201,433,79,73,0
"Census Tract 42, Multnomah County, Oregon!!Estimate",2020,"3,337",0,0,0,0,0,0,0,0,0,0,6,14,10,36,48,449,148,197,454,228,"1,232",363,53,99
"Census Tract 43, Multnomah County, Oregon!!Estimate",2020,843,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,169,1,40,60,30,255,189,56,27
"Census Tract 45, Multnomah County, Oregon!!Estimate",2020,"2,403",41,0,0,0,0,0,0,0,0,0,0,27,0,0,24,79,9,0,253,75,884,603,281,127
"Census Tract 46.01, Multnomah County, Oregon!!Estimate",2020,"2,747",23,0,0,0,0,0,0,0,0,0,0,34,0,0,0,108,25,109,147,66,924,632,438,241
"Census Tract 46.02, Multnomah County, Oregon!!Estimate",2020,"1,536",0,9,0,0,0,0,0,2,0,0,0,8,0,0,0,29,23,27,94,42,570,354,258,120
"Census Tract 47, Multnomah County, Oregon!!Estimate",2020,"3,745",0,0,0,0,0,0,0,0,0,4,12,0,0,0,30,301,27,83,285,101,"1,737",665,241,259
"Census Tract 48, Multnomah County, Oregon!!Estimate",2020,"2,230",1,0,0,0,0,0,0,0,0,0,12,40,0,0,0,173,17,63,408,55,992,266,96,107
"Census Tract 49.01, Multnomah County, Oregon!!Estimate",2020,"2,122",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,107,33,146,163,21,"1,148",322,148,33
"Census Tract 49.02, Multnomah County, Oregon!!Estimate",2020,"1,977",0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,231,18,102,189,221,677,345,133,39
"Census Tract 50.01, Multnomah County, Oregon!!Estimate",2020,"2,605",0,0,0,0,0,0,0,0,0,0,29,0,0,0,12,113,30,43,146,79,"1,104",564,296,189
"Census Tract 50.02, Multnomah County, Oregon!!Estimate",2020,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,67,56,314,104,0,40
"Census Tract 51.01, Multnomah County, Oregon!!Estimate",2020,"2,961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,168,56,357,212,"1,102",339,430,179
"Census Tract 51.02, Multnomah County, Oregon!!Estimate",2020,"2,993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,33,0,195,77,"1,428",776,213,112
"Census Tract 51.03, Multnomah County, Oregon!!Estimate",2020,"2,645",0,0,0,0,0,0,0,0,19,0,7,72,206,77,46,518,240,143,514,64,330,351,58,0
"Census Tract 52.01, Multnomah County, Oregon!!Estimate",2020,"1,629",18,0,0,0,0,0,3,19,0,0,8,3,7,43,0,48,106,124,298,173,445,285,49,0
"Census Tract 52.02, Multnomah County, Oregon!!Estimate",2020,"2,195",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,128,69,31,185,87,"1,062",494,73,47
"Census Tract 55, Multnomah County, Oregon!!Estimate",2020,"2,053",39,0,0,0,0,0,0,0,0,0,8,63,17,26,9,100,67,98,299,83,656,347,164,77
"Census Tract 56.01, Multnomah County, Oregon!!Estimate",2020,"2,240",22,0,0,169,0,0,0,0,0,15,0,0,10,12,0,217,38,74,263,184,681,318,107,130
"Census Tract 56.02, Multnomah County, Oregon!!Estimate",2020,854,29,0,0,0,0,0,0,0,30,0,0,0,0,0,0,54,130,41,120,89,288,73,0,0
"Census Tract 57.01, Multnomah County, Oregon!!Estimate",2020,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,21,0,20,15,186,0,17,47
"Census Tract 57.02, Multnomah County, Oregon!!Estimate",2020,"3,139",47,0,0,0,0,0,0,7,6,0,18,0,0,22,17,102,5,84,343,116,"1,301",506,243,322
"Census Tract 58, Multnomah County, Oregon!!Estimate",2020,"3,729",1,0,0,0,0,0,0,0,0,0,24,0,0,1,0,95,54,130,322,239,"1,352",668,452,391
"Census Tract 59.01, Multnomah County, Oregon!!Estimate",2020,"1,940",0,0,0,0,0,44,0,0,0,0,15,0,0,0,11,80,0,2,309,93,766,437,91,92
"Census Tract 59.02, Multnomah County, Oregon!!Estimate",2020,"2,988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,78,16,65,300,184,"1,066",656,437,174
"Census Tract 59.03, Multnomah County, Oregon!!Estimate",2020,"2,505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,11,101,142,"1,177",605,294,100
"Census Tract 60.01, Multnomah County, Oregon!!Estimate",2020,"1,187",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,11,19,141,17,509,225,156,62
"Census Tract 60.02, Multnomah County, Oregon!!Estimate",2020,"1,895",0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,115,16,58,129,104,813,388,155,95
"Census Tract 61, Multnomah County, Oregon!!Estimate",2020,"2,057",8,0,0,0,0,0,0,0,0,6,0,0,27,0,4,137,22,0,198,38,859,454,230,74
"Census Tract 62, Multnomah County, Oregon!!Estimate",2020,"2,545",0,2,0,0,0,0,0,0,1,0,0,0,0,7,0,91,93,151,164,383,972,479,123,79
"Census Tract 63, Multnomah County, Oregon!!Estimate",2020,"3,257",7,0,0,0,0,0,0,0,0,0,0,10,0,13,6,185,12,81,430,80,"1,287",575,475,96
"Census Tract 64.02, Multnomah County, Oregon!!Estimate",2020,"4,463",0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,282,0,161,460,177,"1,582",838,695,236
"Census Tract 64.03, Multnomah County, Oregon!!Estimate",2020,"2,904",60,0,0,0,0,0,0,0,0,2,63,0,15,47,25,264,117,165,435,281,"1,086",260,67,17
"Census Tract 64.04, Multnomah County, Oregon!!Estimate",2020,"2,810",8,0,0,0,0,0,0,0,0,0,0,10,0,25,0,233,47,133,445,174,951,423,265,96
"Census Tract 65.01, Multnomah County, Oregon!!Estimate",2020,"4,556",0,0,0,0,0,0,0,0,0,0,20,0,57,0,18,409,44,167,774,157,"1,755",747,312,96
"Census Tract 65.02, Multnomah County, Oregon!!Estimate",2020,"3,753",0,0,0,0,0,0,0,0,1,0,0,10,0,91,0,219,16,89,837,213,"1,271",618,252,136
"Census Tract 66.01, Multnomah County, Oregon!!Estimate",2020,"2,187",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,96,30,65,320,97,905,307,163,199
"Census Tract 66.02, Multnomah County, Oregon!!Estimate",2020,"4,174",0,0,0,0,0,0,0,0,23,0,20,0,0,0,58,247,54,119,494,194,"1,691",997,235,42
"Census Tract 67.01, Multnomah County, Oregon!!Estimate",2020,"2,398",6,0,0,0,0,0,0,0,0,0,0,0,8,0,7,226,40,74,238,133,"1,051",416,107,92
"Census Tract 67.02, Multnomah County, Oregon!!Estimate",2020,"2,413",12,0,0,0,0,0,0,0,0,0,75,12,0,5,7,145,46,128,334,81,917,334,210,107
"Census Tract 68.01, Multnomah County, Oregon!!Estimate",2020,"1,533",0,0,0,0,0,0,0,0,1,0,12,0,27,10,10,130,36,71,165,26,485,375,135,50
"Census Tract 68.02, Multnomah County, Oregon!!Estimate",2020,"2,572",81,0,0,0,0,0,0,0,3,0,5,17,0,0,23,147,0,48,369,157,756,517,276,173
"Census Tract 69, Multnomah County, Oregon!!Estimate",2020,"2,046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,10,9,284,46,877,418,279,41
"Census Tract 70.01, Multnomah County, Oregon!!Estimate",2020,"3,697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,50,47,332,137,"1,334",917,512,221
"Census Tract 70.02, Multnomah County, Oregon!!Estimate",2020,"2,545",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,125,148,129,949,832,196,50
"Census Tract 71, Multnomah County, Oregon!!Estimate",2020,"2,006",42,0,0,0,0,0,17,32,0,0,0,0,28,18,34,225,29,111,439,204,542,171,86,28
"Census Tract 72.01, Multnomah County, Oregon!!Estimate",2020,"2,043",22,0,0,0,0,0,17,0,0,0,9,0,44,49,38,358,93,210,367,140,380,240,33,43
"Census Tract 72.02, Multnomah County, Oregon!!Estimate",2020,"2,432",58,0,0,0,0,0,44,0,65,0,22,12,0,19,91,288,48,60,587,298,578,185,38,39
"Census Tract 73, Multnomah County, Oregon!!Estimate",2020,925,0,0,0,0,0,0,0,5,14,10,29,32,30,48,33,151,129,113,278,10,36,7,0,0
"Census Tract 74, Multnomah County, Oregon!!Estimate",2020,"2,241",3,0,0,0,0,0,0,0,74,0,57,114,0,53,43,291,115,133,374,160,508,227,33,56
"Census Tract 75, Multnomah County, Oregon!!Estimate",2020,"3,659",45,0,0,0,0,0,0,5,0,0,20,11,16,17,114,611,96,90,559,312,"1,167",448,74,74
"Census Tract 76, Multnomah County, Oregon!!Estimate",2020,"2,454",115,0,18,0,0,0,0,0,173,0,19,59,18,18,89,331,102,98,425,233,502,208,38,8
"Census Tract 77, Multnomah County, Oregon!!Estimate",2020,"1,740",13,0,0,15,0,0,0,9,45,0,1,6,19,38,33,431,28,81,239,231,445,70,0,36
"Census Tract 78, Multnomah County, Oregon!!Estimate",2020,"1,771",36,17,0,0,3,0,0,0,0,0,0,0,32,42,32,398,74,140,282,179,345,144,35,12
"Census Tract 79, Multnomah County, Oregon!!Estimate",2020,"3,194",167,0,0,0,0,0,0,0,20,21,21,62,45,47,157,645,74,211,619,263,589,193,50,10
"Census Tract 80.01, Multnomah County, Oregon!!Estimate",2020,"2,181",80,0,0,0,0,0,0,0,0,0,0,1,15,24,48,536,80,160,284,303,436,170,9,35
"Census Tract 80.02, Multnomah County, Oregon!!Estimate",2020,"1,775",88,0,11,0,0,0,0,0,59,12,1,6,23,48,0,398,26,95,442,75,357,126,7,1
"Census Tract 81, Multnomah County, Oregon!!Estimate",2020,"6,381",125,13,0,0,0,0,16,51,76,0,36,145,56,110,55,"1,915",502,195,767,653,"1,196",418,4,48
"Census Tract 82.01, Multnomah County, Oregon!!Estimate",2020,"2,471",234,0,0,0,0,0,0,13,19,12,16,20,12,34,85,253,95,114,499,118,601,280,66,0
"Census Tract 82.03, Multnomah County, Oregon!!Estimate",2020,"3,936",0,0,0,0,0,15,71,17,29,22,21,59,47,25,59,936,183,242,836,409,560,241,164,0
"Census Tract 82.04, Multnomah County, Oregon!!Estimate",2020,"2,039",140,0,0,0,0,0,0,26,242,0,47,85,121,66,201,429,4,71,251,168,104,84,0,0
"Census Tract 83.01, Multnomah County, Oregon!!Estimate",2020,"3,139",317,0,0,19,22,0,0,0,90,10,16,55,29,12,176,553,88,284,376,288,566,163,15,60
"Census Tract 83.02, Multnomah County, Oregon!!Estimate",2020,"3,805",100,0,0,0,0,0,10,117,34,0,57,47,113,117,86,717,219,245,562,547,534,282,3,15
"Census Tract 84, Multnomah County, Oregon!!Estimate",2020,"3,234",202,0,0,0,0,44,0,7,39,59,73,68,47,85,117,575,110,543,431,193,495,129,11,6
"Census Tract 85, Multnomah County, Oregon!!Estimate",2020,"3,192",102,0,16,0,0,15,0,14,0,0,0,73,0,127,119,793,197,269,508,376,419,107,43,14
"Census Tract 86, Multnomah County, Oregon!!Estimate",2020,"3,218",78,0,0,0,0,0,16,19,0,43,33,0,8,58,115,605,192,285,642,337,516,162,14,95
"Census Tract 87, Multnomah County, Oregon!!Estimate",2020,"3,961",168,0,10,21,0,0,0,49,0,0,18,104,20,56,44,651,500,279,536,148,858,416,14,69
"Census Tract 88, Multnomah County, Oregon!!Estimate",2020,"3,230",0,0,0,0,0,0,4,0,42,3,16,169,52,23,6,644,147,238,532,285,717,197,108,47
"Census Tract 89.02, Multnomah County, Oregon!!Estimate",2020,"3,085",34,0,0,0,0,0,84,0,0,0,0,6,46,47,83,789,228,282,450,318,540,136,25,17
"Census Tract 89.03, Multnomah County, Oregon!!Estimate",2020,"3,378",67,0,0,0,0,27,0,12,0,22,20,50,25,67,48,533,84,194,489,357,697,433,229,24
"Census Tract 89.04, Multnomah County, Oregon!!Estimate",2020,"3,686",165,0,0,0,0,50,0,18,0,0,144,77,170,1,60,721,156,376,605,384,455,209,74,21
"Census Tract 90.01, Multnomah County, Oregon!!Estimate",2020,"3,976",68,0,0,0,0,0,0,0,73,0,43,19,0,17,381,"1,157",252,255,883,344,324,160,0,0
"Census Tract 90.02, Multnomah County, Oregon!!Estimate",2020,"3,239",26,0,0,101,0,0,0,0,97,0,0,58,109,81,161,452,402,479,323,445,234,171,87,13
"Census Tract 91.01, Multnomah County, Oregon!!Estimate",2020,"4,031",83,0,0,0,55,14,0,0,70,65,5,82,62,174,115,"1,053",349,417,552,477,397,51,0,10
"Census Tract 91.02, Multnomah County, Oregon!!Estimate",2020,"4,474",94,0,0,0,0,51,15,9,46,72,76,29,19,13,28,"1,350",210,450,781,432,477,173,138,11
"Census Tract 92.02, Multnomah County, Oregon!!Estimate",2020,"3,603",125,0,14,23,0,29,6,71,104,19,59,109,21,96,120,500,276,214,621,521,477,143,20,35
"Census Tract 92.03, Multnomah County, Oregon!!Estimate",2020,"2,605",127,0,0,0,0,0,0,0,0,0,4,170,0,71,71,822,13,150,351,134,386,296,10,0
"Census Tract 92.04, Multnomah County, Oregon!!Estimate",2020,"2,882",99,0,0,0,49,0,0,0,15,25,0,32,30,60,130,445,275,216,718,309,419,60,0,0
"Census Tract 93.01, Multnomah County, Oregon!!Estimate",2020,"4,422",127,0,0,0,0,19,5,0,160,1,0,111,32,68,181,978,131,435,924,364,601,234,44,7
"Census Tract 93.02, Multnomah County, Oregon!!Estimate",2020,"3,387",22,0,0,0,0,0,0,0,41,0,0,43,29,22,144,701,217,417,561,295,646,186,19,44
