Label (Grouping),Year,Total:,No Formal Education,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Census Tract 22.03, Multnomah County, Oregon!!Estimate",2019,"3,596",29,0,0,0,0,0,0,0,0,0,42,18,10,17,32,285,109,114,448,177,"1,277",777,146,115
"Census Tract 23.03, Multnomah County, Oregon!!Estimate",2019,"2,417",0,9,0,0,0,0,0,0,0,0,0,21,0,15,26,164,74,93,437,185,958,305,111,19
"Census Tract 24.01, Multnomah County, Oregon!!Estimate",2019,"2,060",0,0,0,0,0,0,0,0,0,0,10,0,10,47,40,56,33,98,210,106,661,529,171,89
"Census Tract 24.02, Multnomah County, Oregon!!Estimate",2019,"2,959",0,0,0,0,0,0,0,0,0,0,0,0,18,30,0,207,59,122,427,131,"1,129",484,229,123
"Census Tract 25.01, Multnomah County, Oregon!!Estimate",2019,"3,341",10,0,0,0,0,0,0,6,0,0,7,12,22,7,0,163,17,56,255,64,"1,249",801,475,197
"Census Tract 25.02, Multnomah County, Oregon!!Estimate",2019,"3,939",34,0,0,0,0,0,0,0,0,0,14,33,0,0,0,231,75,139,323,298,"1,843",639,270,40
"Census Tract 26, Multnomah County, Oregon!!Estimate",2019,"1,937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,72,170,82,807,471,185,105
"Census Tract 27.01, Multnomah County, Oregon!!Estimate",2019,"2,330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,97,36,28,287,23,"1,084",502,154,101
"Census Tract 27.02, Multnomah County, Oregon!!Estimate",2019,"2,600",22,0,0,0,0,0,0,16,0,0,0,30,13,47,42,192,127,53,330,162,948,430,74,114
"Census Tract 28.01, Multnomah County, Oregon!!Estimate",2019,"2,229",29,0,0,0,0,0,0,0,0,0,0,0,41,0,7,194,6,80,301,138,844,416,118,55
"Census Tract 28.02, Multnomah County, Oregon!!Estimate",2019,"2,626",3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,245,81,162,350,191,927,527,57,61
"Census Tract 29.01, Multnomah County, Oregon!!Estimate",2019,"3,670",93,0,0,0,0,0,0,7,0,0,0,0,40,62,35,506,94,234,506,277,986,640,105,85
"Census Tract 29.02, Multnomah County, Oregon!!Estimate",2019,"4,314",142,0,0,0,0,0,0,0,0,0,0,115,16,0,59,480,37,204,727,321,"1,418",603,173,19
"Census Tract 29.03, Multnomah County, Oregon!!Estimate",2019,"3,897",15,0,0,0,0,0,85,0,16,0,0,87,0,63,35,924,95,256,620,387,963,255,54,42
"Census Tract 30, Multnomah County, Oregon!!Estimate",2019,"3,826",47,0,0,0,0,0,0,0,0,0,17,0,25,10,0,243,93,248,537,235,"1,262",735,241,133
"Census Tract 31, Multnomah County, Oregon!!Estimate",2019,"3,945",0,0,0,0,0,0,0,0,0,0,9,0,0,20,22,274,168,217,356,168,"1,512",714,336,149
"Census Tract 32, Multnomah County, Oregon!!Estimate",2019,"3,410",16,0,0,0,0,0,0,0,0,22,0,10,26,14,29,167,49,98,299,127,"1,254",835,339,125
"Census Tract 33.01, Multnomah County, Oregon!!Estimate",2019,"2,523",38,0,0,0,0,52,0,0,0,0,0,0,12,26,0,348,79,200,370,129,777,421,43,28
"Census Tract 33.02, Multnomah County, Oregon!!Estimate",2019,"2,642",6,0,0,0,0,0,0,0,49,0,0,62,0,13,49,297,41,200,407,58,752,567,124,17
"Census Tract 34.01, Multnomah County, Oregon!!Estimate",2019,"2,700",49,0,0,0,0,0,0,0,0,0,3,0,8,0,36,305,81,126,183,253,893,567,135,61
"Census Tract 34.02, Multnomah County, Oregon!!Estimate",2019,"3,350",31,0,0,0,0,0,0,0,0,28,1,23,10,24,32,264,68,168,156,247,"1,494",621,87,96
"Census Tract 35.01, Multnomah County, Oregon!!Estimate",2019,"2,812",37,0,0,0,36,0,0,0,0,0,0,0,0,44,20,178,166,226,435,96,"1,078",337,75,84
"Census Tract 35.02, Multnomah County, Oregon!!Estimate",2019,"2,161",21,0,0,0,0,0,0,0,0,0,0,0,0,2,84,202,39,98,194,75,902,395,118,31
"Census Tract 36.01, Multnomah County, Oregon!!Estimate",2019,"3,846",20,0,0,0,0,0,0,0,0,0,0,9,0,16,101,281,81,252,614,309,"1,260",647,190,66
"Census Tract 36.02, Multnomah County, Oregon!!Estimate",2019,"4,732",121,0,0,0,0,1,0,0,1,0,0,0,0,0,71,365,104,167,909,332,"1,653",766,110,132
"Census Tract 36.03, Multnomah County, Oregon!!Estimate",2019,"1,342",23,0,0,0,0,7,0,4,0,0,0,0,24,31,7,180,25,49,201,89,435,194,55,18
"Census Tract 37.01, Multnomah County, Oregon!!Estimate",2019,"3,598",36,0,0,0,52,0,12,0,147,8,39,26,36,5,22,447,132,222,488,147,"1,248",379,74,78
"Census Tract 37.02, Multnomah County, Oregon!!Estimate",2019,"2,070",0,0,0,0,0,0,0,0,0,0,0,19,0,21,19,131,54,86,413,127,776,287,112,25
"Census Tract 38.01, Multnomah County, Oregon!!Estimate",2019,"2,542",54,0,0,0,0,0,0,0,0,0,9,0,0,26,52,170,58,94,571,181,807,404,48,68
"Census Tract 38.02, Multnomah County, Oregon!!Estimate",2019,"2,636",33,0,0,0,0,0,0,0,23,0,17,0,0,13,54,331,73,112,262,146,947,476,83,66
"Census Tract 38.03, Multnomah County, Oregon!!Estimate",2019,"3,474",13,0,9,0,8,9,0,0,0,0,53,0,0,14,35,385,33,192,622,255,"1,406",331,64,45
"Census Tract 39.01, Multnomah County, Oregon!!Estimate",2019,"5,803",42,0,0,0,0,0,19,0,65,0,79,135,35,37,78,903,171,426,897,365,"1,739",568,205,39
"Census Tract 39.02, Multnomah County, Oregon!!Estimate",2019,"2,829",9,0,0,0,0,0,0,0,0,0,13,0,0,7,10,315,55,202,394,166,"1,002",508,77,71
"Census Tract 40.01, Multnomah County, Oregon!!Estimate",2019,"4,747",38,0,0,0,0,48,31,38,48,13,50,113,135,75,152,838,267,243,788,328,"1,190",284,50,18
