Census Tract,Year,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
"Census Tract 39.02, Multnomah County, Oregon",2019,"2,829",9,0,13,387,762,"1,002",656
"Census Tract 40.01, Multnomah County, Oregon",2019,"4,747",38,117,111,1580,1359,"1,190",352
"Census Tract 40.02, Multnomah County, Oregon",2019,"3,109",8,11,22,524,696,"1,036",812
"Census Tract 41.01, Multnomah County, Oregon",2019,"5,560",38,164,145,1357,1894,"1,396",566
"Census Tract 41.02, Multnomah County, Oregon",2019,"4,287",100,10,26,938,949,"1,478",786
"Census Tract 42, Multnomah County, Oregon",2019,"2,953",0,0,7,723,716,952,555
"Census Tract 43, Multnomah County, Oregon",2019,799,8,0,0,149,186,239,217
"Census Tract 45, Multnomah County, Oregon",2019,"2,194",0,0,0,137,405,822,830
"Census Tract 46.01, Multnomah County, Oregon",2019,"2,660",25,0,0,179,284,927,1245
"Census Tract 46.02, Multnomah County, Oregon",2019,"1,641",9,4,0,53,171,693,711
"Census Tract 47, Multnomah County, Oregon",2019,"3,911",0,0,16,352,606,"1,577",1360
"Census Tract 48, Multnomah County, Oregon",2019,"2,499",0,0,8,239,471,"1,277",504
"Census Tract 49, Multnomah County, Oregon",2019,"4,298",0,0,4,566,907,"1,800",1021
"Census Tract 50, Multnomah County, Oregon",2019,"3,315",0,0,14,160,463,"1,414",1264
"Census Tract 51, Multnomah County, Oregon",2019,"8,283",0,0,20,1393,1839,"3,378",1653
"Census Tract 52, Multnomah County, Oregon",2019,"3,799",23,21,6,340,1095,"1,553",761
"Census Tract 55, Multnomah County, Oregon",2019,"1,944",45,0,6,297,482,607,507
"Census Tract 56, Multnomah County, Oregon",2019,"3,285",69,0,38,472,1108,753,845
"Census Tract 57, Multnomah County, Oregon",2019,"3,414",43,18,32,221,710,"1,258",1132
"Census Tract 58, Multnomah County, Oregon",2019,"3,669",0,0,1,175,541,"1,257",1695
"Census Tract 59, Multnomah County, Oregon",2019,"7,486",0,39,23,375,1354,"2,900",2795
"Census Tract 60.01, Multnomah County, Oregon",2019,"1,214",0,0,0,62,210,481,461
"Census Tract 60.02, Multnomah County, Oregon",2019,"1,731",0,0,0,166,317,707,541
"Census Tract 61, Multnomah County, Oregon",2019,"1,969",14,0,4,234,254,719,744
"Census Tract 62, Multnomah County, Oregon",2019,"2,414",0,0,1,125,512,"1,011",765
"Census Tract 63, Multnomah County, Oregon",2019,"3,280",27,0,0,220,594,"1,185",1254
"Census Tract 64.02, Multnomah County, Oregon",2019,"4,125",0,0,0,320,525,"1,752",1528
"Census Tract 64.03, Multnomah County, Oregon",2019,"3,004",63,0,72,480,939,"1,036",414
"Census Tract 64.04, Multnomah County, Oregon",2019,"3,058",8,15,0,319,786,"1,126",804
"Census Tract 65.01, Multnomah County, Oregon",2019,"4,585",0,0,22,534,966,"1,620",1443
"Census Tract 65.02, Multnomah County, Oregon",2019,"3,407",0,0,1,460,788,"1,082",1076
"Census Tract 66.01, Multnomah County, Oregon",2019,"1,993",0,4,0,150,437,764,638
"Census Tract 66.02, Multnomah County, Oregon",2019,"4,234",0,0,66,436,896,"1,714",1122
"Census Tract 67.01, Multnomah County, Oregon",2019,"2,428",8,0,0,321,543,"1,028",528
"Census Tract 67.02, Multnomah County, Oregon",2019,"2,581",39,0,73,266,580,909,714
"Census Tract 68.01, Multnomah County, Oregon",2019,"1,757",0,0,10,243,316,547,641
"Census Tract 68.02, Multnomah County, Oregon",2019,"2,595",41,0,6,172,529,705,1142
"Census Tract 69, Multnomah County, Oregon",2019,"2,060",0,0,0,116,371,793,780
"Census Tract 70, Multnomah County, Oregon",2019,"5,850",0,0,0,259,929,"2,082",2580
"Census Tract 71, Multnomah County, Oregon",2019,"2,051",0,21,0,404,715,645,266
"Census Tract 72.01, Multnomah County, Oregon",2019,"2,105",29,21,8,574,783,370,320
"Census Tract 72.02, Multnomah County, Oregon",2019,"2,510",80,0,21,637,876,657,239
"Census Tract 73, Multnomah County, Oregon",2019,"1,057",0,3,93,520,385,41,15
"Census Tract 74, Multnomah County, Oregon",2019,"2,493",92,0,53,637,768,608,335
"Census Tract 75, Multnomah County, Oregon",2019,"3,888",53,8,23,820,1148,"1,239",597
"Census Tract 76, Multnomah County, Oregon",2019,"2,339",35,13,260,656,746,394,235
"Census Tract 77, Multnomah County, Oregon",2019,"1,561",31,35,42,517,465,299,172
"Census Tract 78, Multnomah County, Oregon",2019,"1,672",107,0,0,520,536,322,187
"Census Tract 79, Multnomah County, Oregon",2019,"3,071",148,0,48,913,1102,635,225
"Census Tract 80.01, Multnomah County, Oregon",2019,"2,345",52,0,14,648,955,428,248
