Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
"Census Tract 27.02, Multnomah County, Oregon",2020,669,0,0,9,218,442,0,0,0,2987,18,16,0,432,495,1338,688
"Census Tract 28.01, Multnomah County, Oregon",2020,1028,0,0,0,330,663,35,0,0,2363,35,0,0,321,582,904,521
"Census Tract 28.02, Multnomah County, Oregon",2020,923,0,0,13,450,460,0,0,0,2515,3,25,0,335,620,913,619
"Census Tract 29.01, Multnomah County, Oregon",2020,1296,0,7,47,1068,174,0,0,0,4010,126,13,0,621,1114,1464,672
"Census Tract 29.02, Multnomah County, Oregon",2020,1902,41,32,0,1329,479,0,21,0,4698,112,0,0,648,1158,1407,1373
"Census Tract 29.03, Multnomah County, Oregon",2020,975,16,11,110,830,8,0,0,0,3457,32,76,0,1043,1295,711,300
"Census Tract 30, Multnomah County, Oregon",2020,1784,15,0,31,570,1168,0,0,0,4031,31,0,14,309,1158,1441,1078
"Census Tract 31, Multnomah County, Oregon",2020,1401,56,0,28,265,1028,24,0,0,4173,0,12,10,433,1058,1494,1166
"Census Tract 32, Multnomah County, Oregon",2020,1290,17,0,13,341,901,18,0,0,3425,16,0,20,369,520,1274,1226
"Census Tract 33.01, Multnomah County, Oregon",2020,551,0,0,19,311,221,0,0,0,2366,65,0,0,438,688,681,494
"Census Tract 33.02, Multnomah County, Oregon",2020,777,0,27,0,285,449,16,0,0,2820,0,0,0,776,667,724,653
"Census Tract 34.01, Multnomah County, Oregon",2020,892,13,18,9,334,506,0,0,12,2764,9,0,4,497,574,963,717
"Census Tract 34.02, Multnomah County, Oregon",2020,583,29,0,12,342,200,0,0,0,3761,0,0,30,394,531,1956,850
"Census Tract 35.01, Multnomah County, Oregon",2020,705,0,17,12,333,335,8,0,0,2786,39,0,0,374,598,1235,540
"Census Tract 35.02, Multnomah County, Oregon",2020,547,0,0,0,173,346,28,0,0,2413,10,0,0,597,355,1002,449
"Census Tract 36.01, Multnomah County, Oregon",2020,1354,84,33,172,738,327,0,0,0,3701,9,0,0,473,990,1388,841
"Census Tract 36.02, Multnomah County, Oregon",2020,2195,18,0,62,659,1456,0,0,0,5223,58,1,42,609,1591,1855,1067
"Census Tract 36.03, Multnomah County, Oregon",2020,576,11,4,21,274,242,4,0,20,1487,68,18,0,327,303,535,236
"Census Tract 37.01, Multnomah County, Oregon",2020,1026,0,0,36,823,167,0,0,0,3503,141,57,148,543,918,1116,580
"Census Tract 37.02, Multnomah County, Oregon",2020,673,0,0,5,258,406,4,0,0,2260,0,0,0,287,555,927,491
"Census Tract 38.01, Multnomah County, Oregon",2020,754,12,0,29,517,189,7,0,0,2228,28,0,7,310,668,778,437
"Census Tract 38.02, Multnomah County, Oregon",2020,903,10,0,28,658,190,0,0,17,2688,32,0,40,395,735,965,521
"Census Tract 38.03, Multnomah County, Oregon",2020,952,0,0,30,545,377,0,0,0,3487,9,40,41,379,846,1652,520
"Census Tract 39.02, Multnomah County, Oregon",2020,1095,24,0,10,654,396,11,0,0,2886,7,0,21,367,763,955,773
"Census Tract 39.03, Multnomah County, Oregon",2020,865,0,0,111,612,142,0,0,0,2900,0,0,149,718,686,771,576
"Census Tract 39.04, Multnomah County, Oregon",2020,1352,14,0,38,1117,183,0,0,0,3142,27,22,22,460,967,1025,619
"Census Tract 40.02, Multnomah County, Oregon",2020,1133,0,0,22,641,468,2,0,0,2990,14,0,5,528,655,966,822
"Census Tract 40.03, Multnomah County, Oregon",2020,1471,0,33,209,1167,62,0,0,0,5051,314,124,73,1600,1432,1156,352
"Census Tract 41.02, Multnomah County, Oregon",2020,1673,0,0,164,1166,328,0,0,15,4492,59,11,26,1233,847,1529,787
"Census Tract 41.03, Multnomah County, Oregon",2020,1286,0,0,187,942,157,0,0,0,3380,47,47,0,652,1076,1178,380
"Census Tract 41.04, Multnomah County, Oregon",2020,397,0,10,19,299,69,0,0,0,2204,0,82,64,792,681,433,152
"Census Tract 42, Multnomah County, Oregon",2020,772,5,0,128,560,79,0,0,0,3337,0,0,6,705,879,1232,515
"Census Tract 43, Multnomah County, Oregon",2020,401,5,0,14,174,191,17,0,0,843,7,0,0,179,130,255,272
"Census Tract 45, Multnomah County, Oregon",2020,623,0,0,0,99,397,120,0,7,2403,41,0,0,139,328,884,1011
"Census Tract 46.01, Multnomah County, Oregon",2020,1302,8,0,0,210,597,304,147,36,2747,23,0,0,167,322,924,1311
"Census Tract 46.02, Multnomah County, Oregon",2020,651,0,0,27,49,231,230,44,70,1536,9,2,0,60,163,570,732
"Census Tract 47, Multnomah County, Oregon",2020,584,0,0,0,161,278,74,55,16,3745,0,0,16,358,469,1737,1165
"Census Tract 48, Multnomah County, Oregon",2020,305,0,0,0,212,57,0,17,19,2230,1,0,12,230,526,992,469
"Census Tract 49.01, Multnomah County, Oregon",2020,261,0,0,0,99,83,56,23,0,2122,0,0,1,140,330,1148,503
"Census Tract 49.02, Multnomah County, Oregon",2020,110,0,0,0,53,57,0,0,0,1977,0,0,0,271,512,677,517
"Census Tract 50.01, Multnomah County, Oregon",2020,534,0,0,0,349,144,34,7,0,2605,0,0,29,155,268,1104,1049
"Census Tract 50.02, Multnomah County, Oregon",2020,123,16,0,62,0,45,0,0,0,612,0,0,0,0,154,314,144
"Census Tract 51.01, Multnomah County, Oregon",2020,755,0,0,0,266,349,116,0,24,2961,0,0,0,286,625,1102,948
"Census Tract 51.02, Multnomah County, Oregon",2020,758,0,16,0,232,339,48,33,90,2993,0,0,0,192,272,1428,1101
"Census Tract 51.03, Multnomah County, Oregon",2020,316,0,0,0,258,58,0,0,0,2645,0,0,26,1159,721,330,409
"Census Tract 52.01, Multnomah County, Oregon",2020,64,0,0,47,17,0,0,0,0,1629,18,22,8,207,595,445,334
"Census Tract 52.02, Multnomah County, Oregon",2020,441,0,0,46,287,73,21,0,14,2195,0,0,0,216,303,1062,614
"Census Tract 55, Multnomah County, Oregon",2020,309,12,0,46,107,128,0,16,0,2053,39,0,8,282,480,656,588
"Census Tract 56.01, Multnomah County, Oregon",2020,278,0,0,27,144,107,0,0,0,2240,22,169,15,277,521,681,555
"Census Tract 56.02, Multnomah County, Oregon",2020,34,0,0,34,0,0,0,0,0,854,29,0,30,184,250,288,73
"Census Tract 57.01, Multnomah County, Oregon",2020,62,0,0,0,0,62,0,0,0,352,0,0,0,67,35,186,64
"Census Tract 57.02, Multnomah County, Oregon",2020,590,16,0,68,360,98,48,0,0,3139,47,7,24,146,543,1301,1071
"Census Tract 58, Multnomah County, Oregon",2020,1295,0,15,74,108,836,169,51,42,3729,1,0,24,150,691,1352,1511
"Census Tract 59.01, Multnomah County, Oregon",2020,337,0,0,37,179,121,0,0,0,1940,0,44,15,91,404,766,620
"Census Tract 59.02, Multnomah County, Oregon",2020,735,0,0,27,120,534,43,11,0,2988,0,0,0,106,549,1066,1267
"Census Tract 59.03, Multnomah County, Oregon",2020,1014,0,0,16,510,460,14,0,14,2505,0,0,0,75,254,1177,999
"Census Tract 60.01, Multnomah County, Oregon",2020,398,0,0,18,96,225,43,16,0,1187,0,0,0,58,177,509,443
"Census Tract 60.02, Multnomah County, Oregon",2020,754,6,0,17,124,607,0,0,0,1895,0,0,0,153,291,813,638
"Census Tract 61, Multnomah County, Oregon",2020,873,9,0,15,142,672,27,0,8,2057,8,0,6,190,236,859,758
"Census Tract 62, Multnomah County, Oregon",2020,962,0,0,5,381,554,6,0,16,2545,2,0,1,191,698,972,681
"Census Tract 63, Multnomah County, Oregon",2020,1515,11,13,43,435,506,178,181,148,3257,7,0,0,226,591,1287,1146
"Census Tract 64.02, Multnomah County, Oregon",2020,2170,14,0,159,706,1203,34,54,0,4463,0,32,0,282,798,1582,1769
"Census Tract 64.03, Multnomah County, Oregon",2020,857,0,9,46,492,310,0,0,0,2904,60,0,65,468,881,1086,344
"Census Tract 64.04, Multnomah County, Oregon",2020,1171,6,21,247,368,513,16,0,0,2810,8,0,0,315,752,951,784
"Census Tract 65.01, Multnomah County, Oregon",2020,2124,16,0,29,1227,774,48,30,0,4556,0,0,20,528,1098,1755,1155
"Census Tract 65.02, Multnomah County, Oregon",2020,1472,0,0,420,521,505,11,0,15,3753,0,0,1,336,1139,1271,1006
"Census Tract 66.01, Multnomah County, Oregon",2020,955,0,0,31,336,573,8,7,0,2187,0,0,0,131,482,905,669
"Census Tract 66.02, Multnomah County, Oregon",2020,1207,0,0,71,555,581,0,0,0,4174,0,0,43,359,807,1691,1274
"Census Tract 67.01, Multnomah County, Oregon",2020,862,8,0,6,375,450,15,8,0,2398,6,0,0,281,445,1051,615
"Census Tract 67.02, Multnomah County, Oregon",2020,891,0,0,23,356,507,5,0,0,2413,12,0,75,215,543,917,651
"Census Tract 68.01, Multnomah County, Oregon",2020,620,11,0,12,101,469,27,0,0,1533,0,0,13,213,262,485,560
"Census Tract 68.02, Multnomah County, Oregon",2020,1096,0,0,9,172,854,40,9,12,2572,81,0,8,187,574,756,966
"Census Tract 69, Multnomah County, Oregon",2020,1011,0,0,44,102,415,233,68,149,2046,0,0,0,92,339,877,738
"Census Tract 70.01, Multnomah County, Oregon",2020,1763,0,0,0,489,1014,158,86,16,3697,0,0,0,197,516,1334,1650
"Census Tract 70.02, Multnomah County, Oregon",2020,1150,0,0,18,57,676,206,90,103,2545,11,0,0,105,402,949,1078
"Census Tract 71, Multnomah County, Oregon",2020,846,12,11,59,177,444,129,9,5,2006,42,49,0,334,754,542,285
"Census Tract 72.01, Multnomah County, Oregon",2020,901,139,111,186,332,124,9,0,0,2043,22,17,9,582,717,380,316
"Census Tract 72.02, Multnomah County, Oregon",2020,766,96,43,65,417,136,9,0,0,2432,58,44,87,458,945,578,262
"Census Tract 73, Multnomah County, Oregon",2020,75,0,5,15,29,26,0,0,0,925,0,5,53,423,401,36,7
"Census Tract 74, Multnomah County, Oregon",2020,609,46,18,106,263,174,0,0,2,2241,3,0,131,616,667,508,316
"Census Tract 75, Multnomah County, Oregon",2020,1076,58,0,63,809,87,44,0,15,3659,45,5,20,865,961,1167,596
"Census Tract 76, Multnomah County, Oregon",2020,858,82,0,171,551,54,0,0,0,2454,115,18,192,617,756,502,254
"Census Tract 77, Multnomah County, Oregon",2020,677,36,9,174,454,4,0,0,0,1740,13,24,46,555,551,445,106
"Census Tract 78, Multnomah County, Oregon",2020,569,2,0,71,401,95,0,0,0,1771,53,3,0,578,601,345,191
"Census Tract 79, Multnomah County, Oregon",2020,965,0,0,135,785,45,0,0,0,3194,167,0,62,1030,1093,589,253
"Census Tract 80.01, Multnomah County, Oregon",2020,766,0,0,101,620,31,0,0,14,2181,80,0,0,704,747,436,214
"Census Tract 80.02, Multnomah County, Oregon",2020,653,0,9,104,540,0,0,0,0,1775,88,11,72,501,612,357,134
"Census Tract 81, Multnomah County, Oregon",2020,1126,16,0,191,919,0,0,0,0,6381,138,67,112,2783,1615,1196,470
"Census Tract 82.01, Multnomah County, Oregon",2020,764,13,0,73,578,100,0,0,0,2471,234,13,47,499,731,601,346
"Census Tract 82.03, Multnomah County, Oregon",2020,857,0,0,250,586,0,21,0,0,3936,0,103,72,1309,1487,560,405
"Census Tract 82.04, Multnomah County, Oregon",2020,669,62,0,262,323,0,22,0,0,2039,140,26,289,906,490,104,84
"Census Tract 83.01, Multnomah County, Oregon",2020,596,18,9,157,396,16,0,0,0,3139,317,41,116,913,948,566,238
"Census Tract 83.02, Multnomah County, Oregon",2020,947,76,4,178,689,0,0,0,0,3805,100,127,91,1299,1354,534,300
"Census Tract 84, Multnomah County, Oregon",2020,832,0,65,317,450,0,0,0,0,3234,202,51,171,1002,1167,495,146
"Census Tract 85, Multnomah County, Oregon",2020,884,7,11,229,583,54,0,0,0,3192,102,45,0,1309,1153,419,164
"Census Tract 86, Multnomah County, Oregon",2020,1018,91,0,231,634,62,0,0,0,3218,78,35,76,978,1264,516,271
"Census Tract 87, Multnomah County, Oregon",2020,1413,11,0,205,1064,133,0,0,0,3961,168,80,18,1375,963,858,499
"Census Tract 88, Multnomah County, Oregon",2020,1172,9,0,318,781,44,0,0,20,3230,0,4,61,1041,1055,717,352
"Census Tract 89.02, Multnomah County, Oregon",2020,589,0,0,98,420,71,0,0,0,3085,34,84,0,1199,1050,540,178
"Census Tract 89.03, Multnomah County, Oregon",2020,1302,30,0,91,810,301,56,0,14,3378,67,39,42,807,1040,697,686
"Census Tract 89.04, Multnomah County, Oregon",2020,1052,32,79,161,722,58,0,0,0,3686,165,68,144,1185,1365,455,304
"Census Tract 90.01, Multnomah County, Oregon",2020,1170,58,17,206,829,60,0,0,0,3976,68,0,116,1826,1482,324,160
"Census Tract 90.02, Multnomah County, Oregon",2020,517,20,74,54,369,0,0,0,0,3239,26,101,97,1263,1247,234,271
"Census Tract 91.01, Multnomah County, Oregon",2020,1004,77,0,320,607,0,0,0,0,4031,83,69,140,1835,1446,397,61
"Census Tract 91.02, Multnomah County, Oregon",2020,1519,41,37,357,1084,0,0,0,0,4474,94,75,194,1649,1663,477,322
"Census Tract 92.02, Multnomah County, Oregon",2020,993,45,9,437,469,16,0,0,17,3603,125,143,182,1122,1356,477,198
"Census Tract 92.03, Multnomah County, Oregon",2020,702,100,0,91,511,0,0,0,0,2605,127,0,4,1147,635,386,306
"Census Tract 92.04, Multnomah County, Oregon",2020,862,33,0,273,523,5,0,0,28,2882,99,49,40,972,1243,419,60
"Census Tract 93.01, Multnomah County, Oregon",2020,904,52,0,135,688,29,0,0,0,4422,127,24,161,1501,1723,601,285
"Census Tract 93.02, Multnomah County, Oregon",2020,884,7,0,188,667,22,0,0,0,3387,22,0,41,1156,1273,646,249
"Census Tract 94, Multnomah County, Oregon",2020,2494,31,0,337,2053,73,0,0,0,5440,79,25,81,1395,1979,1310,571
"Census Tract 95.01, Multnomah County, Oregon",2020,1203,60,24,225,811,83,0,0,0,3233,67,0,56,1146,1075,625,264
"Census Tract 95.02, Multnomah County, Oregon",2020,904,15,9,31,820,29,0,0,0,2868,9,0,4,793,772,841,449
"Census Tract 96.03, Multnomah County, Oregon",2020,818,9,0,152,657,0,0,0,0,2297,40,32,18,855,1039,213,100
"Census Tract 96.04, Multnomah County, Oregon",2020,818,45,44,262,467,0,0,0,0,3121,285,131,76,909,1405,236,79
"Census Tract 96.05, Multnomah County, Oregon",2020,1029,0,0,178,835,16,0,0,0,3760,67,12,238,1344,1259,513,327
"Census Tract 96.06, Multnomah County, Oregon",2020,691,47,0,177,458,9,0,0,0,3502,123,63,359,1411,1096,254,196
"Census Tract 97.01, Multnomah County, Oregon",2020,973,7,11,360,595,0,0,0,0,3382,37,30,133,1192,1523,339,128
"Census Tract 97.03, Multnomah County, Oregon",2020,1247,214,0,347,675,11,0,0,0,3270,82,58,275,1310,1242,199,104
"Census Tract 97.04, Multnomah County, Oregon",2020,990,0,0,166,824,0,0,0,0,2777,7,8,362,1062,1039,299,0
"Census Tract 98.01, Multnomah County, Oregon",2020,497,67,49,212,158,0,11,0,0,2520,91,84,76,1125,815,224,105
"Census Tract 98.03, Multnomah County, Oregon",2020,1137,22,14,296,791,0,14,0,0,4848,226,119,154,1519,1854,713,263
"Census Tract 98.04, Multnomah County, Oregon",2020,658,16,15,150,446,31,0,0,0,2300,147,15,109,807,793,371,58
"Census Tract 99.03, Multnomah County, Oregon",2020,2212,29,0,191,1673,287,16,0,16,5192,148,0,136,1165,1878,1060,805
"Census Tract 99.04, Multnomah County, Oregon",2020,799,15,54,190,540,0,0,0,0,2513,0,41,0,836,1080,422,134
"Census Tract 99.05, Multnomah County, Oregon",2020,939,71,0,182,678,8,0,0,0,2129,0,0,10,686,830,400,203
"Census Tract 99.06, Multnomah County, Oregon",2020,1268,17,16,103,992,140,0,0,0,2899,21,0,36,603,980,919,340
"Census Tract 99.07, Multnomah County, Oregon",2020,1711,0,7,271,929,445,59,0,0,4148,92,34,93,1350,1345,668,566
"Census Tract 100.01, Multnomah County, Oregon",2020,643,0,0,153,429,45,0,0,16,4179,57,21,147,1480,1338,692,444
"Census Tract 100.02, Multnomah County, Oregon",2020,1283,34,0,291,915,15,0,0,28,4097,88,0,11,1129,1827,622,420
"Census Tract 101.01, Multnomah County, Oregon",2020,832,116,12,285,419,0,0,0,0,2868,12,61,0,1122,1203,335,135
"Census Tract 101.02, Multnomah County, Oregon",2020,719,22,0,39,658,0,0,0,0,3123,0,131,0,1122,1215,404,251
"Census Tract 102, Multnomah County, Oregon",2020,2138,427,106,259,1188,158,0,0,0,4768,179,46,80,1704,1571,857,331
"Census Tract 103.03, Multnomah County, Oregon",2020,1026,31,33,159,742,35,0,0,26,3720,0,62,119,1261,1357,601,320
"Census Tract 103.04, Multnomah County, Oregon",2020,717,179,6,125,382,25,0,0,0,2816,101,119,184,1132,914,213,153
"Census Tract 103.05, Multnomah County, Oregon",2020,964,78,81,135,633,30,7,0,0,2454,56,15,9,735,973,493,173
"Census Tract 103.06, Multnomah County, Oregon",2020,1160,9,20,110,981,40,0,0,0,3123,53,0,28,1005,1217,644,176
"Census Tract 104.02, Multnomah County, Oregon",2020,1617,17,0,53,963,532,52,0,0,4522,104,54,69,1296,1842,888,269
"Census Tract 104.05, Multnomah County, Oregon",2020,1183,19,0,197,904,63,0,0,0,4240,37,95,91,1419,1538,694,366
"Census Tract 104.07, Multnomah County, Oregon",2020,1046,10,0,110,836,81,0,0,9,3722,50,0,140,1149,1660,375,348
"Census Tract 104.08, Multnomah County, Oregon",2020,1220,317,33,138,699,33,0,0,0,3920,65,37,117,1624,1417,494,166
"Census Tract 104.10, Multnomah County, Oregon",2020,630,15,16,308,291,0,0,0,0,2885,21,37,32,1284,925,456,130
"Census Tract 104.11, Multnomah County, Oregon",2020,648,84,28,257,279,0,0,0,0,2233,59,20,21,957,907,206,63
"Census Tract 104.12, Multnomah County, Oregon",2020,840,97,0,86,520,137,0,0,0,2212,10,0,0,806,735,547,114
"Census Tract 104.13, Multnomah County, Oregon",2020,1061,0,0,57,1004,0,0,0,0,3417,14,0,105,811,1460,533,494
"Census Tract 105, Multnomah County, Oregon",2020,1256,26,0,81,652,454,16,0,27,2883,43,0,26,626,937,836,415
"Census Tract 106.01, Multnomah County, Oregon",2020,260,0,0,0,110,107,0,43,0,1296,29,13,56,256,423,258,261
"Census Tract 106.02, Multnomah County, Oregon",2020,42,0,0,0,29,13,0,0,0,1810,27,18,47,421,945,199,153
"Census Tract 9800, Multnomah County, Oregon",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 1.01, Multnomah County, Oregon",2021,634,50,0,27,243,278,36,0,0,2114,0,0,1,186,388,957,582
"Census Tract 1.02, Multnomah County, Oregon",2021,1057,0,30,26,291,609,89,12,0,2805,0,0,0,318,461,1166,860
"Census Tract 2.01, Multnomah County, Oregon",2021,828,0,0,0,193,622,13,0,0,2515,43,0,0,568,610,811,483
"Census Tract 2.02, Multnomah County, Oregon",2021,631,16,0,0,229,386,0,0,0,2320,16,17,15,215,700,663,694
"Census Tract 3.01, Multnomah County, Oregon",2021,996,0,0,15,289,671,21,0,0,3738,0,0,31,737,1036,1071,863
"Census Tract 3.02, Multnomah County, Oregon",2021,2398,0,0,17,386,1785,180,0,30,5331,61,0,0,309,994,1777,2190
"Census Tract 4.01, Multnomah County, Oregon",2021,1063,0,0,23,638,402,0,0,0,2628,7,10,10,390,670,819,722
"Census Tract 4.02, Multnomah County, Oregon",2021,1049,0,10,52,776,211,0,0,0,2710,12,0,0,523,786,881,508
"Census Tract 5.01, Multnomah County, Oregon",2021,1306,19,7,15,1041,215,9,0,0,3166,27,18,121,581,773,1078,568
"Census Tract 5.02, Multnomah County, Oregon",2021,1321,22,0,84,1083,132,0,0,0,3813,137,17,56,588,1306,1113,596
"Census Tract 6.01, Multnomah County, Oregon",2021,1597,1,6,89,1141,351,0,0,9,4083,97,40,79,1361,1230,871,405
"Census Tract 6.02, Multnomah County, Oregon",2021,1254,88,7,209,842,84,0,0,24,4407,139,9,143,1751,1154,821,390
"Census Tract 7.01, Multnomah County, Oregon",2021,1461,0,0,47,1068,346,0,0,0,3757,41,28,25,576,1154,1226,707
"Census Tract 7.02, Multnomah County, Oregon",2021,1473,0,0,69,1205,178,21,0,0,4727,238,24,0,1029,1379,1191,866
"Census Tract 8.01, Multnomah County, Oregon",2021,1273,13,0,89,416,755,0,0,0,3964,36,16,0,468,1236,1333,875
"Census Tract 8.02, Multnomah County, Oregon",2021,1167,0,20,17,755,375,0,0,0,3729,16,0,96,653,1188,1367,409
"Census Tract 9.01, Multnomah County, Oregon",2021,881,0,0,13,287,574,7,0,0,3315,7,0,0,200,739,1497,872
"Census Tract 9.02, Multnomah County, Oregon",2021,830,15,0,13,464,338,0,0,0,4218,114,56,105,732,1387,1214,610
"Census Tract 10, Multnomah County, Oregon",2021,1254,10,14,49,493,660,28,0,0,4666,91,0,54,562,1284,1353,1322
"Census Tract 11.01, Multnomah County, Oregon",2021,134,5,0,0,14,109,6,0,0,2589,9,0,3,434,814,939,390
"Census Tract 11.02, Multnomah County, Oregon",2021,315,0,0,0,48,214,24,0,29,1140,6,0,0,85,259,450,340
"Census Tract 12.02, Multnomah County, Oregon",2021,990,8,6,13,140,714,96,0,13,2844,0,0,0,427,613,943,861
"Census Tract 12.03, Multnomah County, Oregon",2021,361,0,0,0,131,230,0,0,0,2489,0,0,28,362,596,1158,345
"Census Tract 12.04, Multnomah County, Oregon",2021,136,0,17,22,28,69,0,0,0,2364,8,0,79,254,524,1030,469
"Census Tract 13.01, Multnomah County, Oregon",2021,619,8,0,12,239,360,0,0,0,3343,40,5,0,255,767,1510,766
"Census Tract 13.02, Multnomah County, Oregon",2021,961,0,10,11,145,795,0,0,0,2877,10,0,0,174,532,1199,962
"Census Tract 14, Multnomah County, Oregon",2021,1266,52,0,48,405,732,29,0,0,4906,45,0,16,412,1328,1932,1173
"Census Tract 15, Multnomah County, Oregon",2021,1098,0,0,5,218,792,66,0,17,2650,5,0,0,205,583,910,947
"Census Tract 16.01, Multnomah County, Oregon",2021,1446,23,19,22,417,862,64,39,0,4396,22,10,36,957,955,1420,996
"Census Tract 16.02, Multnomah County, Oregon",2021,1396,73,28,108,1111,76,0,0,0,3758,81,36,0,874,998,1344,425
"Census Tract 17.02, Multnomah County, Oregon",2021,814,0,0,47,696,63,0,0,8,2847,72,24,23,546,946,888,348
"Census Tract 17.03, Multnomah County, Oregon",2021,1131,25,0,125,732,249,0,0,0,3217,38,0,0,486,843,1118,732
"Census Tract 17.04, Multnomah County, Oregon",2021,898,0,0,215,409,274,0,0,0,2091,15,0,0,703,394,516,463
"Census Tract 18.01, Multnomah County, Oregon",2021,711,0,0,0,334,377,0,0,0,3748,41,27,0,837,923,1111,809
"Census Tract 18.02, Multnomah County, Oregon",2021,854,0,0,33,246,556,19,0,0,2861,0,0,21,345,805,1029,661
"Census Tract 19, Multnomah County, Oregon",2021,1575,0,0,8,73,1176,177,95,46,3604,9,8,4,296,623,1374,1290
"Census Tract 20.01, Multnomah County, Oregon",2021,436,0,9,28,89,298,0,12,0,2105,13,0,0,220,323,1163,386
"Census Tract 20.02, Multnomah County, Oregon",2021,336,30,0,0,57,249,0,0,0,2979,5,0,0,393,761,1119,701
"Census Tract 21.01, Multnomah County, Oregon",2021,0,0,0,0,0,0,0,0,0,1463,0,0,20,181,223,709,330
"Census Tract 21.02, Multnomah County, Oregon",2021,133,0,0,7,33,93,0,0,0,1895,0,0,0,168,498,901,328
"Census Tract 22.03, Multnomah County, Oregon",2021,696,0,10,8,246,432,0,0,0,3695,10,0,22,464,612,1174,1413
"Census Tract 23.03, Multnomah County, Oregon",2021,213,0,0,62,38,113,0,0,0,3171,19,0,0,482,929,1175,566
"Census Tract 24.01, Multnomah County, Oregon",2021,881,0,5,77,28,604,146,21,0,2332,0,0,15,265,295,807,950
"Census Tract 24.02, Multnomah County, Oregon",2021,621,0,0,38,306,264,13,0,0,2845,0,0,0,444,573,1240,588
"Census Tract 25.01, Multnomah County, Oregon",2021,1640,0,0,10,92,1251,204,59,24,3534,14,0,6,147,437,1366,1564
"Census Tract 25.02, Multnomah County, Oregon",2021,713,29,0,24,118,373,138,16,15,3651,38,0,0,312,752,1555,994
"Census Tract 26, Multnomah County, Oregon",2021,1042,0,109,0,119,743,71,0,0,2121,0,0,0,196,368,972,585
"Census Tract 27.01, Multnomah County, Oregon",2021,1161,0,0,12,120,903,126,0,0,2166,0,0,0,159,354,869,784
"Census Tract 27.02, Multnomah County, Oregon",2021,675,0,0,11,172,480,12,0,0,2787,21,18,0,244,508,1248,748
"Census Tract 28.01, Multnomah County, Oregon",2021,1068,0,0,0,232,801,35,0,0,2450,17,0,0,261,534,1062,576
"Census Tract 28.02, Multnomah County, Oregon",2021,958,0,0,11,330,582,35,0,0,2314,4,22,0,274,573,863,578
"Census Tract 29.01, Multnomah County, Oregon",2021,1375,0,8,46,1014,307,0,0,0,3932,62,12,0,634,1152,1540,532
"Census Tract 29.02, Multnomah County, Oregon",2021,1851,14,0,0,1267,554,0,16,0,4877,120,0,114,628,1419,1325,1271
"Census Tract 29.03, Multnomah County, Oregon",2021,927,13,0,12,792,77,33,0,0,3354,116,48,0,816,1295,695,384
"Census Tract 30, Multnomah County, Oregon",2021,1749,16,20,15,496,1202,0,0,0,3867,43,0,0,256,1124,1414,1030
"Census Tract 31, Multnomah County, Oregon",2021,1428,47,0,25,201,1067,88,0,0,4108,2,11,7,390,973,1445,1280
"Census Tract 32, Multnomah County, Oregon",2021,1265,15,0,12,256,951,31,0,0,3266,0,0,21,353,442,1269,1181
"Census Tract 33.01, Multnomah County, Oregon",2021,585,0,0,22,276,287,0,0,0,2385,28,0,7,381,695,696,578
"Census Tract 33.02, Multnomah County, Oregon",2021,832,0,13,0,309,501,9,0,0,2947,0,0,0,826,684,766,671
"Census Tract 34.01, Multnomah County, Oregon",2021,782,4,14,10,245,501,0,0,8,2648,7,0,5,394,511,998,733
"Census Tract 34.02, Multnomah County, Oregon",2021,562,26,0,0,283,253,0,0,0,3639,0,0,27,332,585,1898,797
"Census Tract 35.01, Multnomah County, Oregon",2021,751,0,13,10,334,388,6,0,0,2828,33,0,16,370,603,1321,485
"Census Tract 35.02, Multnomah County, Oregon",2021,581,0,0,0,129,431,21,0,0,2597,10,0,0,603,380,1156,448
"Census Tract 36.01, Multnomah County, Oregon",2021,1293,99,21,126,598,449,0,0,0,3539,25,0,0,346,1001,1435,732
"Census Tract 36.02, Multnomah County, Oregon",2021,2220,29,0,51,619,1521,0,0,0,4947,53,1,55,597,1386,1855,1000
"Census Tract 36.03, Multnomah County, Oregon",2021,521,10,0,19,213,257,7,0,15,1398,71,14,7,283,285,509,229
"Census Tract 37.01, Multnomah County, Oregon",2021,1095,0,9,25,735,326,0,0,0,3507,124,42,132,387,988,1177,657
"Census Tract 37.02, Multnomah County, Oregon",2021,715,4,0,4,230,468,9,0,0,2131,0,17,4,225,489,849,547
"Census Tract 38.01, Multnomah County, Oregon",2021,729,0,0,8,488,224,9,0,0,2237,19,0,0,306,757,724,431
"Census Tract 38.02, Multnomah County, Oregon",2021,866,0,0,15,560,274,0,0,17,2507,25,0,36,402,659,952,433
"Census Tract 38.03, Multnomah County, Oregon",2021,954,0,0,49,446,459,0,0,0,3250,6,11,0,353,760,1525,595
"Census Tract 39.02, Multnomah County, Oregon",2021,1151,19,0,19,600,495,9,0,9,2872,0,9,29,401,724,1014,695
"Census Tract 39.03, Multnomah County, Oregon",2021,744,21,0,0,559,164,0,0,0,3049,0,21,16,806,672,924,610
"Census Tract 39.04, Multnomah County, Oregon",2021,1378,5,0,19,998,356,0,0,0,3413,0,49,29,485,1151,1162,537
