Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
"Census Tract 31, Multnomah County, Oregon",2019,1385,35,0,34,430,834,38,0,14,3945,0,0,9,484,741,1512,1199
"Census Tract 32, Multnomah County, Oregon",2019,1281,26,0,20,403,814,18,0,0,3410,16,0,22,295,524,1254,1299
"Census Tract 33.01, Multnomah County, Oregon",2019,603,0,0,17,386,200,0,0,0,2523,38,52,0,465,699,777,492
"Census Tract 33.02, Multnomah County, Oregon",2019,742,0,11,0,347,366,18,0,0,2642,6,0,49,462,665,752,708
"Census Tract 34.01, Multnomah County, Oregon",2019,867,12,20,10,357,454,0,0,14,2700,49,0,3,430,562,893,763
"Census Tract 34.02, Multnomah County, Oregon",2019,495,28,0,9,241,217,0,0,0,3350,31,0,29,421,571,1494,804
"Census Tract 35.01, Multnomah County, Oregon",2019,761,0,14,29,406,304,8,0,0,2812,37,36,0,408,757,1078,496
"Census Tract 35.02, Multnomah County, Oregon",2019,578,0,0,11,218,319,30,0,0,2161,21,0,0,327,367,902,544
"Census Tract 36.01, Multnomah County, Oregon",2019,1356,45,34,206,773,298,0,0,0,3846,20,0,0,488,1175,1260,903
"Census Tract 36.02, Multnomah County, Oregon",2019,1895,19,0,64,971,841,0,0,0,4732,121,1,1,540,1408,1653,1008
"Census Tract 36.03, Multnomah County, Oregon",2019,535,12,6,41,291,173,6,0,6,1342,23,11,0,267,339,435,267
"Census Tract 37.01, Multnomah County, Oregon",2019,1077,0,0,96,813,168,0,0,0,3598,36,64,194,668,857,1248,531
"Census Tract 37.02, Multnomah County, Oregon",2019,625,0,0,16,281,322,0,0,6,2070,0,0,0,244,626,776,424
"Census Tract 38.01, Multnomah County, Oregon",2019,830,14,0,39,607,162,8,0,0,2542,54,0,9,306,846,807,520
"Census Tract 38.02, Multnomah County, Oregon",2019,862,10,0,42,613,182,0,0,15,2636,33,0,40,471,520,947,625
"Census Tract 38.03, Multnomah County, Oregon",2019,961,0,0,58,606,297,0,0,0,3474,13,26,53,467,1069,1406,440
"Census Tract 39.01, Multnomah County, Oregon",2019,2120,0,0,341,1595,184,0,0,0,5803,42,19,144,1359,1688,1739,812
"Census Tract 39.02, Multnomah County, Oregon",2019,1010,10,0,24,628,333,11,0,4,2829,9,0,13,387,762,1002,656
"Census Tract 40.01, Multnomah County, Oregon",2019,1440,0,31,286,1060,63,0,0,0,4747,38,117,111,1580,1359,1190,352
"Census Tract 40.02, Multnomah County, Oregon",2019,1137,9,0,15,743,370,0,0,0,3109,8,11,22,524,696,1036,812
"Census Tract 41.01, Multnomah County, Oregon",2019,1528,23,0,373,991,141,0,0,0,5560,38,164,145,1357,1894,1396,566
"Census Tract 41.02, Multnomah County, Oregon",2019,1560,12,0,227,1157,148,0,0,16,4287,100,10,26,938,949,1478,786
"Census Tract 42, Multnomah County, Oregon",2019,793,0,0,156,606,31,0,0,0,2953,0,0,7,723,716,952,555
"Census Tract 43, Multnomah County, Oregon",2019,360,11,0,24,165,131,29,0,0,799,8,0,0,149,186,239,217
"Census Tract 45, Multnomah County, Oregon",2019,529,0,0,0,109,306,107,0,7,2194,0,0,0,137,405,822,830
"Census Tract 46.01, Multnomah County, Oregon",2019,1262,0,0,14,202,649,303,77,17,2660,25,0,0,179,284,927,1245
"Census Tract 46.02, Multnomah County, Oregon",2019,712,0,0,35,67,293,181,66,70,1641,9,4,0,53,171,693,711
"Census Tract 47, Multnomah County, Oregon",2019,749,0,0,0,155,428,114,46,6,3911,0,0,16,352,606,1577,1360
"Census Tract 48, Multnomah County, Oregon",2019,358,0,0,34,228,63,11,0,22,2499,0,0,8,239,471,1277,504
"Census Tract 49, Multnomah County, Oregon",2019,445,0,0,12,154,208,47,24,0,4298,0,0,4,566,907,1800,1021
"Census Tract 50, Multnomah County, Oregon",2019,716,0,0,75,392,196,40,8,5,3315,0,0,14,160,463,1414,1264
"Census Tract 51, Multnomah County, Oregon",2019,1492,0,21,0,639,662,105,27,38,8283,0,0,20,1393,1839,3378,1653
"Census Tract 52, Multnomah County, Oregon",2019,413,0,0,105,241,67,0,0,0,3799,23,21,6,340,1095,1553,761
"Census Tract 55, Multnomah County, Oregon",2019,275,11,0,29,127,86,0,14,8,1944,45,0,6,297,482,607,507
"Census Tract 56, Multnomah County, Oregon",2019,297,0,0,81,130,86,0,0,0,3285,69,0,38,472,1108,753,845
"Census Tract 57, Multnomah County, Oregon",2019,655,17,0,31,396,152,42,17,0,3414,43,18,32,221,710,1258,1132
"Census Tract 58, Multnomah County, Oregon",2019,1309,11,14,68,93,793,233,45,52,3669,0,0,1,175,541,1257,1695
"Census Tract 59, Multnomah County, Oregon",2019,1932,0,0,51,790,954,109,14,14,7486,0,39,23,375,1354,2900,2795
"Census Tract 60.01, Multnomah County, Oregon",2019,425,0,0,18,125,248,23,11,0,1214,0,0,0,62,210,481,461
"Census Tract 60.02, Multnomah County, Oregon",2019,628,12,0,32,190,390,4,0,0,1731,0,0,0,166,317,707,541
"Census Tract 61, Multnomah County, Oregon",2019,822,10,0,17,151,626,9,0,9,1969,14,0,4,234,254,719,744
"Census Tract 62, Multnomah County, Oregon",2019,1009,0,0,5,491,497,9,0,7,2414,0,0,1,125,512,1011,765
"Census Tract 63, Multnomah County, Oregon",2019,1476,12,13,36,549,461,182,95,128,3280,27,0,0,220,594,1185,1254
"Census Tract 64.02, Multnomah County, Oregon",2019,1969,28,0,65,747,1065,44,20,0,4125,0,0,0,320,525,1752,1528
"Census Tract 64.03, Multnomah County, Oregon",2019,964,0,10,99,611,244,0,0,0,3004,63,0,72,480,939,1036,414
"Census Tract 64.04, Multnomah County, Oregon",2019,1270,14,19,403,339,482,13,0,0,3058,8,15,0,319,786,1126,804
"Census Tract 65.01, Multnomah County, Oregon",2019,2135,14,0,56,1280,739,46,0,0,4585,0,0,22,534,966,1620,1443
"Census Tract 65.02, Multnomah County, Oregon",2019,1167,0,0,191,602,342,16,0,16,3407,0,0,1,460,788,1082,1076
"Census Tract 66.01, Multnomah County, Oregon",2019,878,0,0,25,411,427,8,7,0,1993,0,4,0,150,437,764,638
"Census Tract 66.02, Multnomah County, Oregon",2019,1269,0,0,146,675,448,0,0,0,4234,0,0,66,436,896,1714,1122
"Census Tract 67.01, Multnomah County, Oregon",2019,889,14,0,13,515,341,0,6,0,2428,8,0,0,321,543,1028,528
"Census Tract 67.02, Multnomah County, Oregon",2019,946,0,0,35,481,430,0,0,0,2581,39,0,73,266,580,909,714
"Census Tract 68.01, Multnomah County, Oregon",2019,675,14,0,12,99,510,40,0,0,1757,0,0,10,243,316,547,641
"Census Tract 68.02, Multnomah County, Oregon",2019,1152,0,0,9,206,869,46,11,11,2595,41,0,6,172,529,705,1142
"Census Tract 69, Multnomah County, Oregon",2019,1042,0,7,33,185,475,183,69,90,2060,0,0,0,116,371,793,780
"Census Tract 70, Multnomah County, Oregon",2019,2648,0,0,36,496,1541,321,172,82,5850,0,0,0,259,929,2082,2580
"Census Tract 71, Multnomah County, Oregon",2019,901,25,12,117,210,393,114,23,7,2051,0,21,0,404,715,645,266
"Census Tract 72.01, Multnomah County, Oregon",2019,882,197,102,204,273,98,8,0,0,2105,29,21,8,574,783,370,320
"Census Tract 72.02, Multnomah County, Oregon",2019,819,87,57,200,368,97,10,0,0,2510,80,0,21,637,876,657,239
"Census Tract 73, Multnomah County, Oregon",2019,78,0,12,22,33,11,0,0,0,1057,0,3,93,520,385,41,15
"Census Tract 74, Multnomah County, Oregon",2019,639,75,0,123,283,158,0,0,0,2493,92,0,53,637,768,608,335
"Census Tract 75, Multnomah County, Oregon",2019,1159,68,0,58,893,105,18,0,17,3888,53,8,23,820,1148,1239,597
"Census Tract 76, Multnomah County, Oregon",2019,843,80,0,240,480,43,0,0,0,2339,35,13,260,656,746,394,235
"Census Tract 77, Multnomah County, Oregon",2019,650,42,10,258,336,4,0,0,0,1561,31,35,42,517,465,299,172
"Census Tract 78, Multnomah County, Oregon",2019,491,4,0,76,362,49,0,0,0,1672,107,0,0,520,536,322,187
"Census Tract 79, Multnomah County, Oregon",2019,900,0,0,254,590,56,0,0,0,3071,148,0,48,913,1102,635,225
