Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+
"Census Tract 41.02, Multnomah County, Oregon",2019,1560,12,0,227,1157,148,0,0,16
"Census Tract 42, Multnomah County, Oregon",2019,793,0,0,156,606,31,0,0,0
"Census Tract 43, Multnomah County, Oregon",2019,360,11,0,24,165,131,29,0,0
"Census Tract 45, Multnomah County, Oregon",2019,529,0,0,0,109,306,107,0,7
"Census Tract 46.01, Multnomah County, Oregon",2019,1262,0,0,14,202,649,303,77,17
"Census Tract 46.02, Multnomah County, Oregon",2019,712,0,0,35,67,293,181,66,70
"Census Tract 47, Multnomah County, Oregon",2019,749,0,0,0,155,428,114,46,6
"Census Tract 48, Multnomah County, Oregon",2019,358,0,0,34,228,63,11,0,22
"Census Tract 49, Multnomah County, Oregon",2019,445,0,0,12,154,208,47,24,0
"Census Tract 50, Multnomah County, Oregon",2019,716,0,0,75,392,196,40,8,5
"Census Tract 51, Multnomah County, Oregon",2019,1492,0,21,0,639,662,105,27,38
"Census Tract 52, Multnomah County, Oregon",2019,413,0,0,105,241,67,0,0,0
"Census Tract 55, Multnomah County, Oregon",2019,275,11,0,29,127,86,0,14,8
"Census Tract 56, Multnomah County, Oregon",2019,297,0,0,81,130,86,0,0,0
"Census Tract 57, Multnomah County, Oregon",2019,655,17,0,31,396,152,42,17,0
"Census Tract 58, Multnomah County, Oregon",2019,1309,11,14,68,93,793,233,45,52
"Census Tract 59, Multnomah County, Oregon",2019,1932,0,0,51,790,954,109,14,14
"Census Tract 60.01, Multnomah County, Oregon",2019,425,0,0,18,125,248,23,11,0
"Census Tract 60.02, Multnomah County, Oregon",2019,628,12,0,32,190,390,4,0,0
"Census Tract 61, Multnomah County, Oregon",2019,822,10,0,17,151,626,9,0,9
"Census Tract 62, Multnomah County, Oregon",2019,1009,0,0,5,491,497,9,0,7
"Census Tract 63, Multnomah County, Oregon",2019,1476,12,13,36,549,461,182,95,128
"Census Tract 64.02, Multnomah County, Oregon",2019,1969,28,0,65,747,1065,44,20,0
"Census Tract 64.03, Multnomah County, Oregon",2019,964,0,10,99,611,244,0,0,0
"Census Tract 64.04, Multnomah County, Oregon",2019,1270,14,19,403,339,482,13,0,0
"Census Tract 65.01, Multnomah County, Oregon",2019,2135,14,0,56,1280,739,46,0,0
"Census Tract 65.02, Multnomah County, Oregon",2019,1167,0,0,191,602,342,16,0,16
"Census Tract 66.01, Multnomah County, Oregon",2019,878,0,0,25,411,427,8,7,0
"Census Tract 66.02, Multnomah County, Oregon",2019,1269,0,0,146,675,448,0,0,0
"Census Tract 67.01, Multnomah County, Oregon",2019,889,14,0,13,515,341,0,6,0
"Census Tract 67.02, Multnomah County, Oregon",2019,946,0,0,35,481,430,0,0,0
"Census Tract 68.01, Multnomah County, Oregon",2019,675,14,0,12,99,510,40,0,0
"Census Tract 68.02, Multnomah County, Oregon",2019,1152,0,0,9,206,869,46,11,11
"Census Tract 69, Multnomah County, Oregon",2019,1042,0,7,33,185,475,183,69,90
"Census Tract 70, Multnomah County, Oregon",2019,2648,0,0,36,496,1541,321,172,82
"Census Tract 71, Multnomah County, Oregon",2019,901,25,12,117,210,393,114,23,7
"Census Tract 72.01, Multnomah County, Oregon",2019,882,197,102,204,273,98,8,0,0
"Census Tract 72.02, Multnomah County, Oregon",2019,819,87,57,200,368,97,10,0,0
"Census Tract 73, Multnomah County, Oregon",2019,78,0,12,22,33,11,0,0,0
"Census Tract 74, Multnomah County, Oregon",2019,639,75,0,123,283,158,0,0,0
"Census Tract 75, Multnomah County, Oregon",2019,1159,68,0,58,893,105,18,0,17
"Census Tract 76, Multnomah County, Oregon",2019,843,80,0,240,480,43,0,0,0
"Census Tract 77, Multnomah County, Oregon",2019,650,42,10,258,336,4,0,0,0
"Census Tract 78, Multnomah County, Oregon",2019,491,4,0,76,362,49,0,0,0
"Census Tract 79, Multnomah County, Oregon",2019,900,0,0,254,590,56,0,0,0
"Census Tract 80.01, Multnomah County, Oregon",2019,671,0,7,180,442,27,0,0,15
"Census Tract 80.02, Multnomah County, Oregon",2019,786,7,8,208,563,0,0,0,0
"Census Tract 81, Multnomah County, Oregon",2019,1155,0,33,283,839,0,0,0,0
"Census Tract 82.01, Multnomah County, Oregon",2019,652,12,0,119,479,35,0,0,7
"Census Tract 82.02, Multnomah County, Oregon",2019,1324,65,0,457,781,0,21,0,0
"Census Tract 83.01, Multnomah County, Oregon",2019,560,16,13,166,355,10,0,0,0
"Census Tract 83.02, Multnomah County, Oregon",2019,919,46,10,326,537,0,0,0,0
"Census Tract 84, Multnomah County, Oregon",2019,765,8,20,421,316,0,0,0,0
"Census Tract 85, Multnomah County, Oregon",2019,993,14,8,406,500,65,0,0,0
"Census Tract 86, Multnomah County, Oregon",2019,930,80,9,388,453,0,0,0,0
"Census Tract 87, Multnomah County, Oregon",2019,1242,26,7,291,879,39,0,0,0
"Census Tract 88, Multnomah County, Oregon",2019,1203,0,0,428,707,39,0,0,29
"Census Tract 89.01, Multnomah County, Oregon",2019,2582,73,88,397,1689,288,40,0,7
"Census Tract 89.02, Multnomah County, Oregon",2019,637,25,0,161,412,39,0,0,0
"Census Tract 90, Multnomah County, Oregon",2019,1696,120,73,449,1027,27,0,0,0
"Census Tract 91.01, Multnomah County, Oregon",2019,937,89,11,362,475,0,0,0,0
"Census Tract 91.02, Multnomah County, Oregon",2019,1441,81,14,455,870,21,0,0,0
"Census Tract 92.01, Multnomah County, Oregon",2019,1406,177,0,512,701,3,0,0,13
"Census Tract 92.02, Multnomah County, Oregon",2019,1050,25,21,503,470,13,0,0,18
"Census Tract 93.01, Multnomah County, Oregon",2019,840,42,0,135,644,19,0,0,0
"Census Tract 93.02, Multnomah County, Oregon",2019,902,8,0,297,574,23,0,0,0
"Census Tract 94, Multnomah County, Oregon",2019,2329,33,0,616,1611,69,0,0,0
