Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+
"Census Tract 82.01, Multnomah County, Oregon",2020,764,13,0,73,578,100,0,0,0
"Census Tract 82.03, Multnomah County, Oregon",2020,857,0,0,250,586,0,21,0,0
"Census Tract 82.04, Multnomah County, Oregon",2020,669,62,0,262,323,0,22,0,0
"Census Tract 83.01, Multnomah County, Oregon",2020,596,18,9,157,396,16,0,0,0
"Census Tract 83.02, Multnomah County, Oregon",2020,947,76,4,178,689,0,0,0,0
"Census Tract 84, Multnomah County, Oregon",2020,832,0,65,317,450,0,0,0,0
"Census Tract 85, Multnomah County, Oregon",2020,884,7,11,229,583,54,0,0,0
"Census Tract 86, Multnomah County, Oregon",2020,1018,91,0,231,634,62,0,0,0
"Census Tract 87, Multnomah County, Oregon",2020,1413,11,0,205,1064,133,0,0,0
"Census Tract 88, Multnomah County, Oregon",2020,1172,9,0,318,781,44,0,0,20
"Census Tract 89.02, Multnomah County, Oregon",2020,589,0,0,98,420,71,0,0,0
"Census Tract 89.03, Multnomah County, Oregon",2020,1302,30,0,91,810,301,56,0,14
"Census Tract 89.04, Multnomah County, Oregon",2020,1052,32,79,161,722,58,0,0,0
"Census Tract 90.01, Multnomah County, Oregon",2020,1170,58,17,206,829,60,0,0,0
"Census Tract 90.02, Multnomah County, Oregon",2020,517,20,74,54,369,0,0,0,0
"Census Tract 91.01, Multnomah County, Oregon",2020,1004,77,0,320,607,0,0,0,0
"Census Tract 91.02, Multnomah County, Oregon",2020,1519,41,37,357,1084,0,0,0,0
"Census Tract 92.02, Multnomah County, Oregon",2020,993,45,9,437,469,16,0,0,17
"Census Tract 92.03, Multnomah County, Oregon",2020,702,100,0,91,511,0,0,0,0
"Census Tract 92.04, Multnomah County, Oregon",2020,862,33,0,273,523,5,0,0,28
"Census Tract 93.01, Multnomah County, Oregon",2020,904,52,0,135,688,29,0,0,0
"Census Tract 93.02, Multnomah County, Oregon",2020,884,7,0,188,667,22,0,0,0
"Census Tract 94, Multnomah County, Oregon",2020,2494,31,0,337,2053,73,0,0,0
"Census Tract 95.01, Multnomah County, Oregon",2020,1203,60,24,225,811,83,0,0,0
"Census Tract 95.02, Multnomah County, Oregon",2020,904,15,9,31,820,29,0,0,0
"Census Tract 96.03, Multnomah County, Oregon",2020,818,9,0,152,657,0,0,0,0
"Census Tract 96.04, Multnomah County, Oregon",2020,818,45,44,262,467,0,0,0,0
"Census Tract 96.05, Multnomah County, Oregon",2020,1029,0,0,178,835,16,0,0,0
"Census Tract 96.06, Multnomah County, Oregon",2020,691,47,0,177,458,9,0,0,0
"Census Tract 97.01, Multnomah County, Oregon",2020,973,7,11,360,595,0,0,0,0
"Census Tract 97.03, Multnomah County, Oregon",2020,1247,214,0,347,675,11,0,0,0
"Census Tract 97.04, Multnomah County, Oregon",2020,990,0,0,166,824,0,0,0,0
"Census Tract 98.01, Multnomah County, Oregon",2020,497,67,49,212,158,0,11,0,0
"Census Tract 98.03, Multnomah County, Oregon",2020,1137,22,14,296,791,0,14,0,0
"Census Tract 98.04, Multnomah County, Oregon",2020,658,16,15,150,446,31,0,0,0
"Census Tract 99.03, Multnomah County, Oregon",2020,2212,29,0,191,1673,287,16,0,16
"Census Tract 99.04, Multnomah County, Oregon",2020,799,15,54,190,540,0,0,0,0
"Census Tract 99.05, Multnomah County, Oregon",2020,939,71,0,182,678,8,0,0,0
"Census Tract 99.06, Multnomah County, Oregon",2020,1268,17,16,103,992,140,0,0,0
"Census Tract 99.07, Multnomah County, Oregon",2020,1711,0,7,271,929,445,59,0,0
"Census Tract 100.01, Multnomah County, Oregon",2020,643,0,0,153,429,45,0,0,16
"Census Tract 100.02, Multnomah County, Oregon",2020,1283,34,0,291,915,15,0,0,28
"Census Tract 101.01, Multnomah County, Oregon",2020,832,116,12,285,419,0,0,0,0
"Census Tract 101.02, Multnomah County, Oregon",2020,719,22,0,39,658,0,0,0,0
"Census Tract 102, Multnomah County, Oregon",2020,2138,427,106,259,1188,158,0,0,0
"Census Tract 103.03, Multnomah County, Oregon",2020,1026,31,33,159,742,35,0,0,26
"Census Tract 103.04, Multnomah County, Oregon",2020,717,179,6,125,382,25,0,0,0
"Census Tract 103.05, Multnomah County, Oregon",2020,964,78,81,135,633,30,7,0,0
"Census Tract 103.06, Multnomah County, Oregon",2020,1160,9,20,110,981,40,0,0,0
"Census Tract 104.02, Multnomah County, Oregon",2020,1617,17,0,53,963,532,52,0,0
"Census Tract 104.05, Multnomah County, Oregon",2020,1183,19,0,197,904,63,0,0,0
"Census Tract 104.07, Multnomah County, Oregon",2020,1046,10,0,110,836,81,0,0,9
"Census Tract 104.08, Multnomah County, Oregon",2020,1220,317,33,138,699,33,0,0,0
"Census Tract 104.10, Multnomah County, Oregon",2020,630,15,16,308,291,0,0,0,0
"Census Tract 104.11, Multnomah County, Oregon",2020,648,84,28,257,279,0,0,0,0
"Census Tract 104.12, Multnomah County, Oregon",2020,840,97,0,86,520,137,0,0,0
"Census Tract 104.13, Multnomah County, Oregon",2020,1061,0,0,57,1004,0,0,0,0
"Census Tract 105, Multnomah County, Oregon",2020,1256,26,0,81,652,454,16,0,27
"Census Tract 106.01, Multnomah County, Oregon",2020,260,0,0,0,110,107,0,43,0
"Census Tract 106.02, Multnomah County, Oregon",2020,42,0,0,0,29,13,0,0,0
"Census Tract 9800, Multnomah County, Oregon",2020,0,0,0,0,0,0,0,0,0
"Census Tract 1.01, Multnomah County, Oregon",2021,634,50,0,27,243,278,36,0,0
"Census Tract 1.02, Multnomah County, Oregon",2021,1057,0,30,26,291,609,89,12,0
"Census Tract 2.01, Multnomah County, Oregon",2021,828,0,0,0,193,622,13,0,0
"Census Tract 2.02, Multnomah County, Oregon",2021,631,16,0,0,229,386,0,0,0
"Census Tract 3.01, Multnomah County, Oregon",2021,996,0,0,15,289,671,21,0,0
"Census Tract 3.02, Multnomah County, Oregon",2021,2398,0,0,17,386,1785,180,0,30
"Census Tract 4.01, Multnomah County, Oregon",2021,1063,0,0,23,638,402,0,0,0
"Census Tract 4.02, Multnomah County, Oregon",2021,1049,0,10,52,776,211,0,0,0
"Census Tract 5.01, Multnomah County, Oregon",2021,1306,19,7,15,1041,215,9,0,0
"Census Tract 5.02, Multnomah County, Oregon",2021,1321,22,0,84,1083,132,0,0,0
"Census Tract 6.01, Multnomah County, Oregon",2021,1597,1,6,89,1141,351,0,0,9
"Census Tract 6.02, Multnomah County, Oregon",2021,1254,88,7,209,842,84,0,0,24
"Census Tract 7.01, Multnomah County, Oregon",2021,1461,0,0,47,1068,346,0,0,0
"Census Tract 7.02, Multnomah County, Oregon",2021,1473,0,0,69,1205,178,21,0,0
"Census Tract 8.01, Multnomah County, Oregon",2021,1273,13,0,89,416,755,0,0,0
"Census Tract 8.02, Multnomah County, Oregon",2021,1167,0,20,17,755,375,0,0,0
"Census Tract 9.01, Multnomah County, Oregon",2021,881,0,0,13,287,574,7,0,0
"Census Tract 9.02, Multnomah County, Oregon",2021,830,15,0,13,464,338,0,0,0
"Census Tract 10, Multnomah County, Oregon",2021,1254,10,14,49,493,660,28,0,0
"Census Tract 11.01, Multnomah County, Oregon",2021,134,5,0,0,14,109,6,0,0
"Census Tract 11.02, Multnomah County, Oregon",2021,315,0,0,0,48,214,24,0,29
"Census Tract 12.02, Multnomah County, Oregon",2021,990,8,6,13,140,714,96,0,13
"Census Tract 12.03, Multnomah County, Oregon",2021,361,0,0,0,131,230,0,0,0
"Census Tract 12.04, Multnomah County, Oregon",2021,136,0,17,22,28,69,0,0,0
"Census Tract 13.01, Multnomah County, Oregon",2021,619,8,0,12,239,360,0,0,0
"Census Tract 13.02, Multnomah County, Oregon",2021,961,0,10,11,145,795,0,0,0
"Census Tract 14, Multnomah County, Oregon",2021,1266,52,0,48,405,732,29,0,0
"Census Tract 15, Multnomah County, Oregon",2021,1098,0,0,5,218,792,66,0,17
"Census Tract 16.01, Multnomah County, Oregon",2021,1446,23,19,22,417,862,64,39,0
"Census Tract 16.02, Multnomah County, Oregon",2021,1396,73,28,108,1111,76,0,0,0
"Census Tract 17.02, Multnomah County, Oregon",2021,814,0,0,47,696,63,0,0,8
"Census Tract 17.03, Multnomah County, Oregon",2021,1131,25,0,125,732,249,0,0,0
"Census Tract 17.04, Multnomah County, Oregon",2021,898,0,0,215,409,274,0,0,0
"Census Tract 18.01, Multnomah County, Oregon",2021,711,0,0,0,334,377,0,0,0
"Census Tract 18.02, Multnomah County, Oregon",2021,854,0,0,33,246,556,19,0,0
"Census Tract 19, Multnomah County, Oregon",2021,1575,0,0,8,73,1176,177,95,46
"Census Tract 20.01, Multnomah County, Oregon",2021,436,0,9,28,89,298,0,12,0
"Census Tract 20.02, Multnomah County, Oregon",2021,336,30,0,0,57,249,0,0,0
"Census Tract 21.01, Multnomah County, Oregon",2021,0,0,0,0,0,0,0,0,0
"Census Tract 21.02, Multnomah County, Oregon",2021,133,0,0,7,33,93,0,0,0
"Census Tract 22.03, Multnomah County, Oregon",2021,696,0,10,8,246,432,0,0,0
"Census Tract 23.03, Multnomah County, Oregon",2021,213,0,0,62,38,113,0,0,0
"Census Tract 24.01, Multnomah County, Oregon",2021,881,0,5,77,28,604,146,21,0
"Census Tract 24.02, Multnomah County, Oregon",2021,621,0,0,38,306,264,13,0,0
"Census Tract 25.01, Multnomah County, Oregon",2021,1640,0,0,10,92,1251,204,59,24
"Census Tract 25.02, Multnomah County, Oregon",2021,713,29,0,24,118,373,138,16,15
"Census Tract 26, Multnomah County, Oregon",2021,1042,0,109,0,119,743,71,0,0
"Census Tract 27.01, Multnomah County, Oregon",2021,1161,0,0,12,120,903,126,0,0
"Census Tract 27.02, Multnomah County, Oregon",2021,675,0,0,11,172,480,12,0,0
"Census Tract 28.01, Multnomah County, Oregon",2021,1068,0,0,0,232,801,35,0,0
"Census Tract 28.02, Multnomah County, Oregon",2021,958,0,0,11,330,582,35,0,0
"Census Tract 29.01, Multnomah County, Oregon",2021,1375,0,8,46,1014,307,0,0,0
"Census Tract 29.02, Multnomah County, Oregon",2021,1851,14,0,0,1267,554,0,16,0
"Census Tract 29.03, Multnomah County, Oregon",2021,927,13,0,12,792,77,33,0,0
"Census Tract 30, Multnomah County, Oregon",2021,1749,16,20,15,496,1202,0,0,0
"Census Tract 31, Multnomah County, Oregon",2021,1428,47,0,25,201,1067,88,0,0
"Census Tract 32, Multnomah County, Oregon",2021,1265,15,0,12,256,951,31,0,0
"Census Tract 33.01, Multnomah County, Oregon",2021,585,0,0,22,276,287,0,0,0
"Census Tract 33.02, Multnomah County, Oregon",2021,832,0,13,0,309,501,9,0,0
"Census Tract 34.01, Multnomah County, Oregon",2021,782,4,14,10,245,501,0,0,8
"Census Tract 34.02, Multnomah County, Oregon",2021,562,26,0,0,283,253,0,0,0
"Census Tract 35.01, Multnomah County, Oregon",2021,751,0,13,10,334,388,6,0,0
"Census Tract 35.02, Multnomah County, Oregon",2021,581,0,0,0,129,431,21,0,0
"Census Tract 36.01, Multnomah County, Oregon",2021,1293,99,21,126,598,449,0,0,0
"Census Tract 36.02, Multnomah County, Oregon",2021,2220,29,0,51,619,1521,0,0,0
"Census Tract 36.03, Multnomah County, Oregon",2021,521,10,0,19,213,257,7,0,15
"Census Tract 37.01, Multnomah County, Oregon",2021,1095,0,9,25,735,326,0,0,0
"Census Tract 37.02, Multnomah County, Oregon",2021,715,4,0,4,230,468,9,0,0
"Census Tract 38.01, Multnomah County, Oregon",2021,729,0,0,8,488,224,9,0,0
"Census Tract 38.02, Multnomah County, Oregon",2021,866,0,0,15,560,274,0,0,17
"Census Tract 38.03, Multnomah County, Oregon",2021,954,0,0,49,446,459,0,0,0
"Census Tract 39.02, Multnomah County, Oregon",2021,1151,19,0,19,600,495,9,0,9
"Census Tract 39.03, Multnomah County, Oregon",2021,744,21,0,0,559,164,0,0,0
"Census Tract 39.04, Multnomah County, Oregon",2021,1378,5,0,19,998,356,0,0,0
"Census Tract 40.02, Multnomah County, Oregon",2021,1213,0,0,15,582,614,2,0,0
"Census Tract 40.03, Multnomah County, Oregon",2021,1526,16,29,196,1154,131,0,0,0
"Census Tract 41.02, Multnomah County, Oregon",2021,1589,10,0,143,1151,259,0,0,26
"Census Tract 41.03, Multnomah County, Oregon",2021,1218,0,0,59,938,221,0,0,0
"Census Tract 41.04, Multnomah County, Oregon",2021,464,0,15,14,322,113,0,0,0
"Census Tract 42, Multnomah County, Oregon",2021,876,5,26,141,516,188,0,0,0
"Census Tract 43, Multnomah County, Oregon",2021,391,5,0,15,176,187,8,0,0
"Census Tract 45, Multnomah County, Oregon",2021,639,0,0,0,96,395,130,15,3
"Census Tract 46.01, Multnomah County, Oregon",2021,1346,14,0,8,218,624,312,134,36
"Census Tract 46.02, Multnomah County, Oregon",2021,635,0,0,27,61,240,193,64,50
"Census Tract 47, Multnomah County, Oregon",2021,599,0,0,0,148,313,57,69,12
"Census Tract 48, Multnomah County, Oregon",2021,294,0,0,0,175,76,0,11,32
"Census Tract 49.01, Multnomah County, Oregon",2021,378,0,0,0,166,152,43,17,0
"Census Tract 49.02, Multnomah County, Oregon",2021,158,0,0,0,47,111,0,0,0
"Census Tract 50.01, Multnomah County, Oregon",2021,533,0,0,0,351,144,38,0,0
"Census Tract 50.02, Multnomah County, Oregon",2021,158,14,0,70,0,74,0,0,0
"Census Tract 51.01, Multnomah County, Oregon",2021,667,0,0,0,157,277,196,0,37
"Census Tract 51.02, Multnomah County, Oregon",2021,737,0,24,0,210,333,71,27,72
"Census Tract 51.03, Multnomah County, Oregon",2021,278,0,0,0,251,27,0,0,0
"Census Tract 52.01, Multnomah County, Oregon",2021,74,0,0,54,20,0,0,0,0
"Census Tract 52.02, Multnomah County, Oregon",2021,485,0,0,25,339,85,22,0,14
"Census Tract 55, Multnomah County, Oregon",2021,359,14,0,23,156,139,11,16,0
"Census Tract 56.01, Multnomah County, Oregon",2021,290,0,0,25,101,164,0,0,0
"Census Tract 56.02, Multnomah County, Oregon",2021,31,0,0,31,0,0,0,0,0
"Census Tract 57.01, Multnomah County, Oregon",2021,37,0,0,0,0,37,0,0,0
"Census Tract 57.02, Multnomah County, Oregon",2021,758,0,0,62,451,211,34,0,0
"Census Tract 58, Multnomah County, Oregon",2021,1198,0,0,86,89,790,154,56,23
"Census Tract 59.01, Multnomah County, Oregon",2021,440,0,0,36,109,295,0,0,0
"Census Tract 59.02, Multnomah County, Oregon",2021,683,15,0,19,82,468,52,47,0
"Census Tract 59.03, Multnomah County, Oregon",2021,1035,0,0,0,697,313,13,0,12
"Census Tract 60.01, Multnomah County, Oregon",2021,434,0,0,13,87,267,51,12,4
"Census Tract 60.02, Multnomah County, Oregon",2021,743,6,3,11,92,626,5,0,0
"Census Tract 61, Multnomah County, Oregon",2021,863,12,0,15,118,647,63,0,8
"Census Tract 62, Multnomah County, Oregon",2021,1104,0,8,11,352,717,6,0,10
"Census Tract 63, Multnomah County, Oregon",2021,1512,11,11,5,350,576,192,224,143
"Census Tract 64.02, Multnomah County, Oregon",2021,2223,16,0,81,670,1390,66,0,0
"Census Tract 64.03, Multnomah County, Oregon",2021,905,0,0,24,458,410,13,0,0
"Census Tract 64.04, Multnomah County, Oregon",2021,1169,6,21,184,413,528,17,0,0
"Census Tract 65.01, Multnomah County, Oregon",2021,1973,21,0,19,963,883,55,32,0
"Census Tract 65.02, Multnomah County, Oregon",2021,1381,0,0,330,450,573,14,0,14
"Census Tract 66.01, Multnomah County, Oregon",2021,1023,0,7,29,351,606,23,7,0
"Census Tract 66.02, Multnomah County, Oregon",2021,1229,0,0,51,466,663,49,0,0
"Census Tract 67.01, Multnomah County, Oregon",2021,866,16,0,0,286,535,18,11,0
"Census Tract 67.02, Multnomah County, Oregon",2021,812,0,0,18,317,470,7,0,0
"Census Tract 68.01, Multnomah County, Oregon",2021,592,8,0,0,95,410,79,0,0
"Census Tract 68.02, Multnomah County, Oregon",2021,1114,0,0,10,145,896,41,10,12
"Census Tract 69, Multnomah County, Oregon",2021,938,0,11,30,79,387,199,75,157
"Census Tract 70.01, Multnomah County, Oregon",2021,1938,0,0,0,611,1071,205,37,14
"Census Tract 70.02, Multnomah County, Oregon",2021,941,0,0,0,59,564,171,87,60
"Census Tract 71, Multnomah County, Oregon",2021,782,9,10,44,126,437,143,0,13
"Census Tract 72.01, Multnomah County, Oregon",2021,924,168,128,150,328,150,0,0,0
"Census Tract 72.02, Multnomah County, Oregon",2021,889,81,56,67,472,183,19,0,11
"Census Tract 73, Multnomah County, Oregon",2021,80,0,5,25,15,30,5,0,0
"Census Tract 74, Multnomah County, Oregon",2021,711,66,17,52,294,277,0,0,5
"Census Tract 75, Multnomah County, Oregon",2021,1220,53,0,99,834,177,42,0,15
"Census Tract 76, Multnomah County, Oregon",2021,931,90,42,134,573,92,0,0,0
"Census Tract 77, Multnomah County, Oregon",2021,675,9,26,136,496,8,0,0,0
"Census Tract 78, Multnomah County, Oregon",2021,467,6,0,34,318,109,0,0,0
"Census Tract 79, Multnomah County, Oregon",2021,1065,0,6,105,840,114,0,0,0
"Census Tract 80.01, Multnomah County, Oregon",2021,902,0,0,114,715,73,0,0,0
"Census Tract 80.02, Multnomah County, Oregon",2021,797,12,10,68,656,51,0,0,0
"Census Tract 81, Multnomah County, Oregon",2021,1205,35,0,113,1057,0,0,0,0
"Census Tract 82.01, Multnomah County, Oregon",2021,752,12,0,86,528,126,0,0,0
"Census Tract 82.03, Multnomah County, Oregon",2021,984,0,15,243,650,57,19,0,0
"Census Tract 82.04, Multnomah County, Oregon",2021,671,54,85,162,349,0,21,0,0
"Census Tract 83.01, Multnomah County, Oregon",2021,652,7,0,138,471,36,0,0,0
"Census Tract 83.02, Multnomah County, Oregon",2021,877,93,0,131,653,0,0,0,0
"Census Tract 84, Multnomah County, Oregon",2021,791,0,55,205,523,8,0,0,0
"Census Tract 85, Multnomah County, Oregon",2021,871,10,0,166,591,104,0,0,0
"Census Tract 86, Multnomah County, Oregon",2021,1034,145,0,135,665,89,0,0,0
"Census Tract 87, Multnomah County, Oregon",2021,1392,11,0,158,1056,167,0,0,0
"Census Tract 88, Multnomah County, Oregon",2021,1093,8,0,217,812,47,0,0,9
"Census Tract 89.02, Multnomah County, Oregon",2021,606,0,0,60,476,70,0,0,0
"Census Tract 89.03, Multnomah County, Oregon",2021,1398,32,0,54,917,357,19,0,19
"Census Tract 89.04, Multnomah County, Oregon",2021,1020,50,72,61,684,153,0,0,0
"Census Tract 90.01, Multnomah County, Oregon",2021,1180,42,40,88,919,91,0,0,0
"Census Tract 90.02, Multnomah County, Oregon",2021,489,0,89,36,364,0,0,0,0
"Census Tract 91.01, Multnomah County, Oregon",2021,1060,65,48,287,593,67,0,0,0
"Census Tract 91.02, Multnomah County, Oregon",2021,1469,31,48,376,932,82,0,0,0
"Census Tract 92.02, Multnomah County, Oregon",2021,1103,27,8,337,672,45,0,0,14
"Census Tract 92.03, Multnomah County, Oregon",2021,742,67,6,98,524,47,0,0,0
"Census Tract 92.04, Multnomah County, Oregon",2021,854,34,0,142,621,23,0,0,34
"Census Tract 93.01, Multnomah County, Oregon",2021,999,43,0,163,746,47,0,0,0
"Census Tract 93.02, Multnomah County, Oregon",2021,950,40,14,121,738,37,0,0,0
"Census Tract 94, Multnomah County, Oregon",2021,2310,13,0,226,1860,211,0,0,0
"Census Tract 95.01, Multnomah County, Oregon",2021,1304,75,16,190,855,168,0,0,0
"Census Tract 95.02, Multnomah County, Oregon",2021,906,12,8,18,792,76,0,0,0
"Census Tract 96.03, Multnomah County, Oregon",2021,887,12,0,137,738,0,0,0,0
"Census Tract 96.04, Multnomah County, Oregon",2021,910,57,27,255,571,0,0,0,0
"Census Tract 96.05, Multnomah County, Oregon",2021,1263,0,0,125,1100,38,0,0,0
"Census Tract 96.06, Multnomah County, Oregon",2021,701,41,0,105,546,9,0,0,0
"Census Tract 97.01, Multnomah County, Oregon",2021,1036,2,0,222,812,0,0,0,0
"Census Tract 97.03, Multnomah County, Oregon",2021,1020,132,48,297,513,30,0,0,0
"Census Tract 97.04, Multnomah County, Oregon",2021,1042,17,0,128,897,0,0,0,0
"Census Tract 98.01, Multnomah County, Oregon",2021,498,88,47,149,196,8,10,0,0
"Census Tract 98.03, Multnomah County, Oregon",2021,1366,24,12,295,1007,17,11,0,0
"Census Tract 98.04, Multnomah County, Oregon",2021,662,18,29,103,467,45,0,0,0
"Census Tract 99.03, Multnomah County, Oregon",2021,2222,0,0,117,1660,404,18,0,23
"Census Tract 99.04, Multnomah County, Oregon",2021,818,11,8,181,583,35,0,0,0
"Census Tract 99.05, Multnomah County, Oregon",2021,902,31,0,113,741,17,0,0,0
"Census Tract 99.06, Multnomah County, Oregon",2021,1355,21,7,56,1005,266,0,0,0
"Census Tract 99.07, Multnomah County, Oregon",2021,1617,16,21,117,915,479,69,0,0
"Census Tract 100.01, Multnomah County, Oregon",2021,738,0,21,121,496,77,0,0,23
"Census Tract 100.02, Multnomah County, Oregon",2021,1286,33,0,135,1047,46,0,0,25
"Census Tract 101.01, Multnomah County, Oregon",2021,853,99,13,138,603,0,0,0,0
"Census Tract 101.02, Multnomah County, Oregon",2021,781,0,0,75,706,0,0,0,0
"Census Tract 102, Multnomah County, Oregon",2021,2134,315,221,149,1280,169,0,0,0
"Census Tract 103.03, Multnomah County, Oregon",2021,1142,24,74,104,869,52,0,0,19
"Census Tract 103.04, Multnomah County, Oregon",2021,858,249,1,114,443,51,0,0,0
"Census Tract 103.05, Multnomah County, Oregon",2021,934,49,63,81,689,45,7,0,0
"Census Tract 103.06, Multnomah County, Oregon",2021,1231,0,34,57,1094,46,0,0,0
"Census Tract 104.02, Multnomah County, Oregon",2021,1589,12,15,43,973,513,33,0,0
"Census Tract 104.05, Multnomah County, Oregon",2021,1149,24,0,86,980,59,0,0,0
"Census Tract 104.07, Multnomah County, Oregon",2021,1127,29,0,39,922,137,0,0,0
"Census Tract 104.08, Multnomah County, Oregon",2021,1436,330,81,79,863,83,0,0,0
"Census Tract 104.10, Multnomah County, Oregon",2021,721,18,0,261,416,26,0,0,0
"Census Tract 104.11, Multnomah County, Oregon",2021,629,80,38,225,286,0,0,0,0
"Census Tract 104.12, Multnomah County, Oregon",2021,882,15,0,47,675,145,0,0,0
"Census Tract 104.13, Multnomah County, Oregon",2021,1110,0,0,35,1024,51,0,0,0
"Census Tract 105, Multnomah County, Oregon",2021,1199,22,0,62,526,524,36,0,29
"Census Tract 106.01, Multnomah County, Oregon",2021,265,0,0,0,122,95,0,48,0
"Census Tract 106.02, Multnomah County, Oregon",2021,21,0,0,0,21,0,0,0,0
"Census Tract 9800, Multnomah County, Oregon",2021,0,0,0,0,0,0,0,0,0
Census Tract 1.01; Multnomah County; Oregon,2022,747,49,0,31,256,344,67,0,0
Census Tract 1.02; Multnomah County; Oregon,2022,1151,0,29,41,216,800,65,0,0
Census Tract 2.01; Multnomah County; Oregon,2022,856,0,0,0,197,642,17,0,0
Census Tract 2.02; Multnomah County; Oregon,2022,654,16,0,0,132,506,0,0,0
Census Tract 3.01; Multnomah County; Oregon,2022,1018,0,0,0,229,741,39,9,0
Census Tract 3.02; Multnomah County; Oregon,2022,2461,13,0,0,167,1924,331,26,0
Census Tract 4.01; Multnomah County; Oregon,2022,1098,6,0,7,346,705,34,0,0
Census Tract 4.02; Multnomah County; Oregon,2022,1003,0,0,34,558,405,6,0,0
Census Tract 5.01; Multnomah County; Oregon,2022,1295,10,18,6,835,417,9,0,0
Census Tract 5.02; Multnomah County; Oregon,2022,1282,18,0,28,991,245,0,0,0
Census Tract 6.01; Multnomah County; Oregon,2022,1520,1,0,46,1030,434,0,0,9
Census Tract 6.02; Multnomah County; Oregon,2022,1185,36,0,59,873,212,0,0,5
Census Tract 7.01; Multnomah County; Oregon,2022,1370,0,23,58,714,575,0,0,0
Census Tract 7.02; Multnomah County; Oregon,2022,1410,0,16,13,942,405,34,0,0
Census Tract 8.01; Multnomah County; Oregon,2022,1257,18,0,28,320,891,0,0,0
Census Tract 8.02; Multnomah County; Oregon,2022,1109,0,8,0,600,501,0,0,0
Census Tract 9.01; Multnomah County; Oregon,2022,883,0,0,13,135,675,60,0,0
Census Tract 9.02; Multnomah County; Oregon,2022,693,0,10,0,328,355,0,0,0
Census Tract 10; Multnomah County; Oregon,2022,1222,9,28,51,324,769,41,0,0
Census Tract 11.01; Multnomah County; Oregon,2022,173,0,0,0,46,69,58,0,0
Census Tract 11.02; Multnomah County; Oregon,2022,367,0,0,0,22,256,59,0,30
Census Tract 12.02; Multnomah County; Oregon,2022,979,25,5,13,71,673,170,0,22
Census Tract 12.03; Multnomah County; Oregon,2022,407,0,0,0,85,322,0,0,0
Census Tract 12.04; Multnomah County; Oregon,2022,158,0,0,14,26,118,0,0,0
Census Tract 13.01; Multnomah County; Oregon,2022,678,6,0,0,217,413,42,0,0
Census Tract 13.02; Multnomah County; Oregon,2022,998,0,0,8,119,858,13,0,0
Census Tract 14; Multnomah County; Oregon,2022,1413,0,47,31,328,946,61,0,0
Census Tract 15; Multnomah County; Oregon,2022,1119,0,10,0,72,961,52,6,18
Census Tract 16.01; Multnomah County; Oregon,2022,1686,26,0,37,363,1148,99,13,0
Census Tract 16.02; Multnomah County; Oregon,2022,1504,64,29,38,1217,156,0,0,0
Census Tract 17.02; Multnomah County; Oregon,2022,832,0,0,37,540,252,0,0,3
Census Tract 17.03; Multnomah County; Oregon,2022,1112,26,0,92,525,469,0,0,0
Census Tract 17.04; Multnomah County; Oregon,2022,979,0,0,199,346,434,0,0,0
Census Tract 18.01; Multnomah County; Oregon,2022,740,0,0,0,288,452,0,0,0
Census Tract 18.02; Multnomah County; Oregon,2022,823,0,0,6,189,592,23,13,0
Census Tract 19; Multnomah County; Oregon,2022,1606,0,0,12,30,1222,236,78,28
Census Tract 20.01; Multnomah County; Oregon,2022,425,0,8,29,99,243,30,16,0
Census Tract 20.02; Multnomah County; Oregon,2022,340,33,0,0,64,222,21,0,0
Census Tract 21.01; Multnomah County; Oregon,2022,0,0,0,0,0,0,0,0,0
Census Tract 21.02; Multnomah County; Oregon,2022,93,0,0,6,18,67,2,0,0
Census Tract 22.03; Multnomah County; Oregon,2022,688,0,5,0,128,506,45,4,0
Census Tract 23.03; Multnomah County; Oregon,2022,242,0,0,78,20,144,0,0,0
Census Tract 24.01; Multnomah County; Oregon,2022,890,0,4,78,17,567,176,48,0
Census Tract 24.02; Multnomah County; Oregon,2022,632,0,0,22,222,292,78,0,18
Census Tract 25.01; Multnomah County; Oregon,2022,1638,0,0,10,29,1090,436,73,0
Census Tract 25.02; Multnomah County; Oregon,2022,743,28,0,9,165,310,196,0,35
Census Tract 26; Multnomah County; Oregon,2022,1126,0,108,0,46,776,188,8,0
Census Tract 27.01; Multnomah County; Oregon,2022,1137,0,0,0,32,939,158,8,0
Census Tract 27.02; Multnomah County; Oregon,2022,648,0,0,10,71,553,14,0,0
Census Tract 28.01; Multnomah County; Oregon,2022,1080,8,13,0,93,890,76,0,0
Census Tract 28.02; Multnomah County; Oregon,2022,945,0,0,9,192,714,30,0,0
Census Tract 29.01; Multnomah County; Oregon,2022,1416,0,7,31,587,791,0,0,0
Census Tract 29.02; Multnomah County; Oregon,2022,1866,17,0,0,952,871,26,0,0
Census Tract 29.03; Multnomah County; Oregon,2022,875,0,0,12,616,201,46,0,0
Census Tract 30; Multnomah County; Oregon,2022,1858,0,34,30,317,1473,4,0,0
Census Tract 31; Multnomah County; Oregon,2022,1390,47,0,0,63,1063,196,21,0
Census Tract 32; Multnomah County; Oregon,2022,1228,17,22,7,213,901,68,0,0
Census Tract 33.01; Multnomah County; Oregon,2022,548,0,10,22,147,352,17,0,0
